screening_record_id,study_id,citation_key,source_record_id,title,year,doi,doi_status,sources,screening_status,final_decision,primary_exclusion_code,harmonized_exclusion_reason,phishing_task_confirmed,primary_study_confirmed,posthoc_xai_confirmed,extractable,eligibility_rationale,metadata_source_note
FT068,,,2-s2.0-105023892319,Explainable AI-Driven Cyber Threat Detection Using Graph Neural Networks and Large Language Models for Interpretability and Contextual Analysis,2025,10.1109/iccds64403.2025.11209348,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,,no,The system targets broad cyber-threat and malware/anomaly detection rather than a phishing-central predictive task.,core_database_candidates.csv
FT069,S050,Vishwajeeth2025ExplainableAdversariallyEvaluated,2-s2.0-105030075493,Explainable and Adversarially Evaluated CNN for Visual Phishing Detection,2025,10.1109/discover66922.2025.11258928,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible visual-phishing study with a MobileNetV2 detector and explicit LIME-based post-hoc explanation of screenshot regions driving predictions.,citation_key_map_core_database.csv
FT070,S022,Palavali2025ExplainableEnsembleDetecting,2-s2.0-105034839755,Explainable Ensemble Learning for Detecting Phishing URLs using Lightweight Cyber Threat Intelligence,2025,10.1109/iceca66444.2025.11382884,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study with explicit multi-level post-hoc explainability using SHAP LIME,citation_key_map_core_database.csv
FT071,S031,Weamie2025ExplainableWebsiteEnhancing,2-s2.0-105012471800,Explainable Machine Learning Models for Phishing Website Detection: Enhancing Transparency and Accuracy in Cybersecurity,2025,10.1007/978-981-96-9872-1_27,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing website study with explicit SHAP/LIME workflow and empirical explanation outputs.,citation_key_map_core_database.csv
FT072,S019,Tashtoush2024ExploringLowlevelStatistical,2-s2.0-85197388361,Exploring low-level statistical features of n-grams in phishing URLs: a comparative analysis with high-level features,2024,10.1007/s10586-024-04655-5,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study because SHAP and LIME are used as explicit post-hoc interpretation layers not merely rhetorical feature-selection labels.,citation_key_map_core_database.csv
FT073,S043,Dhanavanthini2025HarnessingGreyWolf,2-s2.0-105031429722,Harnessing Grey Wolf Optimization and SHAP X-AI for Robust and Scalable URL Phishing Detection,2025,10.1109/asiancon66527.2025.11281144,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study with phishing-central classification and explicit SHAP explanations layered onto the optimized CNN+BiLSTM detector.,citation_key_map_core_database.csv
FT074,,,2-s2.0-105035504104,Hybrid Intelligence Framework for Cyber Attack Prediction and Simulation,2025,10.1109/computingcon64838.2025.11379825,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,,no,The framework targets general cyberattack prediction on CICIDS2017 rather than a phishing-central predictive task.,core_database_candidates.csv
FT075,,,2-s2.0-105028657506,Hybridizing Explainable AI (XAI) for Intelligent Feature Extraction in Phishing Website Detection,2026,10.3390/electronics15020350,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,no,,no,The paper operationalizes XAI chiefly as a feature-ranking and selection engine rather than as a separable post-hoc explanation layer for the final phishing detector. though explanation is intertwined with feature selection,core_database_candidates.csv
FT076,S029,Jovanovic2023ImprovingWebsiteHybrid,2-s2.0-85167715224,Improving Phishing Website Detection Using a Hybrid Two-level Framework for Feature Selection and XGBoost Tuning,2023,10.13052/jwe1540-9589.2237,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing website study because the empirical task is phishing detection and the final optimized model is explicitly interpreted with SHAP after training. though explanation is intertwined with feature selection,citation_key_map_core_database.csv
FT077,S034,Kumar2026IPDMIntelligentECommerce,2-s2.0-105023312995,IPDM: An Intelligent Phishing Detection Model for E-Commerce Websites,2026,10.1007/978-3-032-07735-6_26,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing website study because it is dedicated to phishing detection and reports SHAP-based interpretation of the best-performing CNN detector.,citation_key_map_core_database.csv
FT078,S013,Yadav2026LeveragingLargeLanguage,2-s2.0-105028163376,Leveraging Large Language Models for Enhanced URL Phishing Detection,2026,10.1007/978-3-032-12983-3_46,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study because phishing detection is central and the final CatBoost detector is explicitly interpreted with SHAP while the LLM branch also provides explanation outputs.,citation_key_map_core_database.csv
FT079,,,2-s2.0-105007851387,Multilingual Spam Email Classification Using LSTM with Convolutional Block Attention Module,2025,10.1109/ecce64574.2025.11013788,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,yes,no,,yes,The empirical task is multilingual spam email classification rather than phishing detection even though phishing is mentioned as one security risk and LIME is implemented.,core_database_candidates.csv
FT080,,,2-s2.0-105034408635,Multi-Modal Machine Learning for Blockchain Fraud Detection: Integrating Graph Neural Networks with Explainable AI,2025,10.1109/icbds67396.2025.11379815,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,,no,Blockchain fraud study outside phishing scope.,core_database_candidates.csv
FT081,,,2-s2.0-105034854947,Optimizing Phishing URL Detection with Xgboost: A High-Performance Approach for Cyber Threat Mitigation,2025,,no_doi_recorded_in_exports,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E3,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,,no,Phishing URL detection is central but the paper does not implement a separable post-hoc explainer such as SHAP or LIME; it only studies boosting models plus conventional feature selection.,core_database_candidates.csv
FT082,,,2-s2.0-105032713682,Phish Guard: Real-Time Phishing Website Identification Using Explainable Graph Neural Networks,2025,10.1109/iccike67021.2025.11318289,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,,no,Phishing detection is central but explainability is limited to intrinsic GNN attention weights and feature-importance style summaries rather than a separable post-hoc explainer layer.,core_database_candidates.csv
FT083,,,2-s2.0-105033273861,Phishing URL Detection with Contextual Embeddings and Explainable Machine Learning,2025,10.1109/icnsoc66817.2025.00115,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E7,Duplicate or near-duplicate,yes,yes,,yes,This record is a duplicate or near-duplicate of the already included P78 study reproducing the same dataset,core_database_candidates.csv
FT084,S054,Liang2025WebsiteConstructionImproved,2-s2.0-105016998396,Phishing Website Detection Model Construction Based on Improved IHHO-RF-SHAP Algorithm,2025,10.1109/acctcs66275.2025.00142,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing website study because phishing detection is central and the final IHHO-optimized Random Forest model is explicitly interpreted with SHAP after model construction.,citation_key_map_core_database.csv
FT085,,,2-s2.0-105001519468,Proactive detection of anomalous behavior in Ethereum accounts using XAI-enabled ensemble stacking with Bayesian optimization,2025,10.7717/peerj-cs.2630,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,yes,yes,"Re-adjudicated against the original eligibility rule. The empirical target is anomalous/fraudulent Ethereum-account or transaction detection; phishing is only one of several contextualized blockchain threats, not the central predictive task.",citation_key_map_core_database.csv; R1C1 corpus-consistency re-audit
FT086,,,2-s2.0-105020179729,Quantum-Inspired Hybrid Metaheuristic Feature Selection with SHAP for Optimized and Explainable Spam Detection,2025,10.3390/sym17101716,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,yes,yes,Re-adjudicated against the original eligibility rule. The experiment explicitly uses the ISCX-URL2016 spam subset and classifies spam versus benign URLs; phishing is background motivation rather than the central predictive task.,citation_key_map_core_database.csv; R1C1 corpus-consistency re-audit
FT087,S017,Matole2026SHAPDrivenFeatureSelection,2-s2.0-105028271007,SHAP-Driven Feature Selection with Meta-ensemble Classifiers for Efficient Phishing URL Detection,2026,10.1007/978-3-032-10670-4_28,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study because the final meta-ensemble classifier is accompanied by explicit SHAP-based interpretability outputs. though explanation is intertwined with feature selection,citation_key_map_core_database.csv
FT088,,,2-s2.0-105019060997,SMS Spam Detection with NLP and Ensemble Learning for Enhanced Classification,2025,10.1109/icctdc64446.2025.11159039,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,yes,no,,yes,SMS spam classification is the central task rather than phishing detection despite the presence of SHAP/LIME explanations.,core_database_candidates.csv
FT089,S036,Nti2026SynergisticIntrusionIntegrating,2-s2.0-105029086005,Synergistic Phishing Intrusion Detection: Integrating Behavioral and Structural Indicators with Hybrid Ensembles and XAI Validation,2026,10.3390/fi18010030,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study with hybrid ensemble detection and explicit SHAP-based validation of phishing-related predictors.,citation_key_map_core_database.csv
FT090,S016,Sivasankar2025PracticalAddressingChallenges,2-s2.0-105012195771,Towards Practical Phishing Detection: Addressing Challenges with Hybrid Machine Learning Architectures,2025,10.1109/iccrtee64519.2025.11053024,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study with a hybrid XGBoost-DNN detector and explicit SHAP-based post-hoc interpretation of model behavior.,citation_key_map_core_database.csv
FT091,S053,Gurjar2021WebSecAsstChromeExtension,2-s2.0-85113807729,WebSecAsst - A Machine Learning based Chrome Extension,2021,10.1109/icces51350.2021.9488953,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because the Chrome-extension detector uses XGBoost and explicit SHAP explanations for real-time prediction support.,citation_key_map_core_database.csv
FT092,S059,Ivanicki2026StudyDegradationAcrossReal,10.1109/isdfs69419.2026.11459104,An Explainable AI Study of Phishing Detection Model Degradation Across Real-World Events,2026,10.1109/isdfs69419.2026.11459104,doi_recorded,IEEE Xplore,fulltext_reviewed,include,,,yes,yes,yes,yes,Random Forest phishing-website models are analyzed with global feature importance and LIME local explanations across temporal test sets.,citation_key_map_core_database.csv
FT093,S060,Asal2026EmailClassificationComparativeStudy,10.2339/politeknik.1745083,"Deep learning and explainable AI for email phishing classification: A comparative study of TabNet, NODE and FT-transformer models",2026,10.2339/politeknik.1745083,doi_recorded,Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,"Email phishing classification compares TabNet, NODE, and FT-Transformer; SHAP and LIME interpret the FT-Transformer decision process.",citation_key_map_core_database.csv
FT094,S061,Kumar2025HumanWrittenGeneratedEmails,10.1109/incowoco68239.2025.11407086,Detecting Human-Written and AI-Generated Phishing Emails with DistilBERT and Explainable AI,2025,10.1109/incowoco68239.2025.11407086,doi_recorded,IEEE Xplore,fulltext_reviewed,include,,,yes,yes,yes,yes,DistilBERT performs tri-class email classification and integrates LIME and SHAP for token-level model decisions.,citation_key_map_core_database.csv
FT095,S062,Fatih2025EvaluatingLIMEExplainabilityURL,10.1109/icetisi67983.2025.11406019,Evaluating LIME-Based Explainability for Phishing URL Detection Across Multiple Machine Learning Models,2025,10.1109/icetisi67983.2025.11406019,doi_recorded,IEEE Xplore,fulltext_reviewed,include,,,yes,yes,yes,yes,"The paper evaluates LIME explanations across Logistic Regression, Decision Tree, XGBoost, LightGBM, and CatBoost phishing URL classifiers.",citation_key_map_core_database.csv
FT096,S063,Uddin2025SiteHighEfficiencyBoosting,10.1049/tje2.70110,Explainable Machine Learning for Phishing Site Detection: A High-Efficiency Approach Using Boosting Models and SHAP,2025,10.1049/tje2.70110,doi_recorded,Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,"Boosting-based phishing-site classifiers are explained with SHAP visualizations including global feature importance, beeswarm, and local waterfall plots.",citation_key_map_core_database.csv
FT097,S064,Yi2025URLInterpretabilityCrossDataset,10.1002/spy2.70175,Phishing URL Detection and Interpretability With Machine Learning: A Cross-Dataset Approach,2026,10.1002/spy2.70175,doi_recorded,Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,"Random Forest, XGBoost, and LightGBM classify phishing-related URLs across datasets; SHAP interprets model decision processes.",citation_key_map_core_database.csv
FT098,S065,Alasmari2025IoTIntegratedCNNLSTM,10.1007/s43926-025-00202-9,Phishing detection in IoT: an integrated CNN-LSTM framework with explainable AI and LLM-enhanced analysis,2025,10.1007/s43926-025-00202-9,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,"CNN-LSTM phishing detection is enhanced with SHAP-based XAI, LLM analysis, and additional local attribution methods.",citation_key_map_core_database.csv
FT099,S066,Kirupa2025SafeSurfBrowserIntegratedHybrid,10.1109/gcwcn66157.2025.11448531,SafeSurf-AI: A Browser-Integrated Hybrid Phishing and Spam Detection Framework with Real-Time Awareness Simulation and Explainable AI,2025,10.1109/gcwcn66157.2025.11448531,doi_recorded,IEEE Xplore,fulltext_reviewed,include,,,yes,yes,yes,yes,SafeSurf-AI performs browser-based phishing/spam detection and integrates LIME and SHAP interpretability for real-time defense.,citation_key_map_core_database.csv
FT100,S067,AlSubaiey2024NovelInterpretableRobustWeb,10.1016/j.compeleceng.2024.109625,Novel interpretable and robust web-based AI platform for phishing email detection,2024,10.1016/j.compeleceng.2024.109625,doi_recorded,Scopus; Web of Science; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,A web-based phishing email detector uses LIME visualizations to identify words contributing to SVM email classifications.,citation_key_map_core_database.csv
FT101,S068,Choutapally2024PaciPhishInterpretableURL,10.1109/cars61786.2024.10778820,PaciPhish: Intelligent and Interpretable Phishing URL Detection Framework,2024,10.1109/cars61786.2024.10778820,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,"PaciPhish explicitly states that the XAI model uses LIME, gives LIME local-explanation equations, and analyzes two test samples with the XAI module.",citation_key_map_core_database.csv
FT102,S069,Kluge2021ExplainingSuspicionDesignUser,10.1007/978-3-030-86797-3_17,Explaining the Suspicion: Design of an XAI-Based User-Focused Anti-Phishing Measure,2021,10.1007/978-3-030-86797-3_17,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,The paper designs an XAI approach that extracts words and phrases from emails relevant to a black-box phishing detector's assessment.,citation_key_map_core_database.csv
FT103,S070,Ananthajothi2026HybridTabNetTransformerText,10.1109/iitcee67948.2026.11394524,A Hybrid Deep Learning Approach for Phishing Detection Using TabNet and Transformer-Based Text Analysis,2026,10.1109/iitcee67948.2026.11394524,doi_recorded,IEEE Xplore,fulltext_reviewed,include,,,yes,yes,yes,yes,Hybrid TabNet/Transformer phishing detection incorporates SHAP-based explainability to show structured-feature and text-pattern contributions.,citation_key_map_core_database.csv
FT104,S071,Shakir2026NovelPSOOptimizedRandom,10.22266/ijies2026.0531.02,A Novel PSO-optimized Random Forest Model for Enhanced Phishing Detection,2026,10.22266/ijies2026.0531.02,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,RF_PSO phishing-website detection is evaluated on three datasets and uses LIME to quantify feature contributions to predictions.,citation_key_map_core_database.csv
FT105,S072,Sathiyapriya2026EmailLinkGenerativeML,10.1109/idciot67589.2026.11455836,AI-Based Phishing Email and Link Detection Framework Through Generative AI and Explainable ML,2026,10.1109/idciot67589.2026.11455836,doi_recorded,IEEE Xplore,fulltext_reviewed,include,,,yes,yes,yes,yes,"The phishing email/link framework includes a SHAP attribution module, LIME local explanations, and LLM natural-language rationalization.",citation_key_map_core_database.csv
FT106,,,10.1109/acdsa67686.2026.11468044,Enhancing Phishing Detection Using an Ensemble Model and Hyperparameter Tuning,2026,10.1109/acdsa67686.2026.11468044,doi_recorded,IEEE Xplore,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,The study implements ensemble/tuning and GWO feature selection; SHAP/LIME appear as future work rather than an implemented explanation layer.,core_database_candidates.csv
FT107,,,10.1109/iisec69317.2026.11418433,"Malicious QR Code Classification Using Machine Learning, Deep Learning, and Explainable AI",2026,10.1109/iisec69317.2026.11418433,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,no,no,"The central task is safe-vs-malicious QR code classification, not a clearly phishing-focused/quishing detector.",core_database_candidates.csv
FT108,,,10.1109/iciptm69057.2026.11466278,Phishing Detection Using Machine Learning with Advanced URL Feature Engineering and Stacking Ensemble Approach,2026,10.1109/iciptm69057.2026.11466278,doi_recorded,IEEE Xplore,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,"The implemented work centers on feature engineering, stacking ensembles, and feature importance; LIME/SHAP are discussed but not implemented as the study's explainer.",core_database_candidates.csv
FT109,,,10.1109/iementech202669403.2026.11434080,Real-Time Detection and Explainable Analysis of Unsafe URLs Using Catboost and Random Forest Ensembles,2026,10.1109/iementech202669403.2026.11434080,doi_recorded,IEEE Xplore,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,no,no,The detector targets unsafe/malicious URLs using a synthetic safe-vs-malicious setup rather than a clearly phishing-centered corpus.,core_database_candidates.csv
FT110,S073,Shanthi2026SecureURLIntelligenceEngine,10.1109/iciss67859.2026.11453639,Secure URL Intelligence Based Engine for Phishing Detection,2026,10.1109/iciss67859.2026.11453639,doi_recorded,IEEE Xplore,fulltext_reviewed,include,,,yes,yes,yes,yes,A phishing URL intelligence engine evaluates RF/XGBoost/CNN-LSTM models and uses SHAP to make model decisions interpretable.,citation_key_map_core_database.csv
FT111,S074,Mursi2025AgainstSmishingKenyaCulturally,10.1109/ictmod66732.2025.11371821,AI Against Smishing in Kenya: Culturally Adapted SMS Scam Detection for Digital Trust,2025,10.1109/ictmod66732.2025.11371821,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,The smishing/SMS scam detector uses XGBoost and Logistic Regression with SHAP to identify features influencing each decision.,citation_key_map_core_database.csv
FT112,S075,Chiper2025EveryCharacterCountsFrom,10.1109/ictai66417.2025.00066,Every Character Counts: From Vulnerability to Defense in Phishing Detection,2025,10.1109/ictai66417.2025.00066,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Character-level phishing email detectors are interpreted with a post-hoc Grad-CAM adaptation for character-level inputs.,citation_key_map_core_database.csv
FT113,S076,Kapoor2025PrivacyPreservingEnsembleURL,10.1109/medcom67532.2025.11405148,Explainable and Privacy-Preserving Ensemble Framework for Phishing URL Detection,2025,10.1109/medcom67532.2025.11405148,doi_recorded,IEEE Xplore,fulltext_reviewed,include,,,yes,yes,yes,yes,The ensemble phishing URL framework uses SHAP and LIME to provide explanations for each prediction.,citation_key_map_core_database.csv
FT114,S077,Zhang2025TowardsEducationalZeroShot,10.1109/bigdata66926.2025.11402600,Towards Explainable and Educational Phishing Detection: A Zero-Shot LLM Approach,2025,10.1109/bigdata66926.2025.11402600,doi_recorded,IEEE Xplore,fulltext_reviewed,include,,,yes,yes,yes,yes,The zero-shot LLM phishing detector produces natural-language explanations attached to each detection outcome and evaluates the system on a phishing dataset.,citation_key_map_core_database.csv
FT115,,,10.1002/qre.3411,Explainable machine learning for phishing feature detection,2024,10.1002/qre.3411,doi_recorded,Scopus; Web of Science; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,The article proposes Lorenz-Zonoid feature selection and Random-Forest feature-importance ranking for phishing features.,core_database_candidates.csv
FT116,,,10.1145/3607947.3608059,Explaining URL Phishing Detection by Glass Box Models,2023,10.1145/3607947.3608059,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,The study explains phishing URL predictions using glass-box Logistic Regression and Decision Trees plus what-if analysis.,core_database_candidates.csv
FT117,,,10.1109/icecte69292.2026.11429459,BERT-Based Malicious URL Detection with Explainable AI: A Comparative Analysis of Traditional and Transformer Models,2026,10.1109/icecte69292.2026.11429459,doi_recorded,IEEE Xplore,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,yes,no,"The classifier is a four-class malicious-URL detector for benign, defacement, phishing, and malware URLs; phishing is not the central predictive task.",core_database_candidates.csv
FT118,,,scopus.csv:269,Smart and Transparent Defense: A Hybrid Explainable AI Framework for Phishing Resilience,2026,,no_doi_recorded_in_exports,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,The DPA module compares decision-tree and other classifiers inside a cyber-risk/insurance framework; no separable post-hoc explainer is implemented.,core_database_candidates.csv
FT119,,,10.1016/j.dss.2023.114102,A hybrid framework using explainable AI (XAI) in cyber-risk management for defence and recovery against phishing attacks,2024,10.1016/j.dss.2023.114102,doi_recorded,Scopus; Web of Science; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,no,no,"The study estimates phishing risk, expert phisher probability, detection probability, losses, and insurance choices rather than a post-hoc-explained detector.",core_database_candidates.csv
FT120,,,10.1109/snams64316.2024.10883775,An Interpretable Fine-Tuned BERT Approach for Phishing URLs Detection: A Superior Alternative to Feature Engineering,2024,10.1109/snams64316.2024.10883775,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E6,xAI mechanism underspecified or not extractable,yes,yes,unclear,no,"The paper claims interpretable BERT outputs, but the methods/results do not clearly state whether Captum, LIME, attention attribution, or another explainer produced the output.",core_database_candidates.csv
FT121,S078,Greco2023ExplainingAttacksEnhanceUser,PlanB:PB-ALL-030; sources:Scopus-expanded; verified:CEUR/DBLP; url:https://ceur-ws.org/Vol-3488/paper22.pdf,Explaining Phishing Attacks: An XAI Approach to Enhance User Awareness and Trust,2023,,no_doi_identified,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,The email tool uses model-agnostic explainers such as LIME/SHAP to produce feature-importance explanations for phishing classifications.,citation_key_map_core_database.csv
FT122,,,10.1109/trustcom56396.2022.00176,Data Driven based Malicious URL Detection using Explainable AI,2022,10.1109/trustcom56396.2022.00176,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,yes,no,"The study is a four-class malicious-URL detector for benign, defacement, phishing, and malware URLs, with ALE plots for all classes.",core_database_candidates.csv
FT123,,,10.1007/978-981-16-5655-2_89,Phishing URL Detection and Vulnerability Assessment of Web Applications Using IVS Attributes with XAI,2022,10.1007/978-981-16-5655-2_89,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E3,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,"The xAI visualization is described for XSS/SQLI/FI vulnerability models, not for explaining the phishing URL detector's predictions.",core_database_candidates.csv
FT124,,,10.1007/978-981-96-9245-3_7,An Improved Model for Deep Dive Phishing Detection,2026,10.1007/978-981-96-9245-3_7,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E6,xAI mechanism underspecified or not extractable,yes,yes,unclear,no,"The paper describes how LIME, SHAP, PDP, and Anchors could explain phishing outputs, but provides little evidence that these explainers were executed in the reported system.",core_database_candidates.csv
FT125,,,10.1109/icaect68478.2026.11426049,Detecting Phishing Websites Using Hybrid Feature Extraction and Classification,2026,10.1109/icaect68478.2026.11426049,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E3,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,The study combines hybrid feature extraction and ensemble classification for phishing websites but does not implement a post-hoc explainer.,core_database_candidates.csv
FT126,,,10.1007/978-3-032-00350-8_9,Enhanced Malicious URL Detection Through Feature Significance Analysis,2026,10.1007/978-3-032-00350-8_9,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,no,no,The central task is malicious URL classification with binary/multi-class feature-importance tables; XAI is proposed mainly as future work.,core_database_candidates.csv
FT127,S079,Bharanidharan2026EnsembleUrlLightweightCyber,10.1109/icmsci67830.2026.11469630,Explainable Ensemble Learning for Phishing Url Detection With Lightweight Cyber Threat Intelligence and Multi-Objective Optimization,2026,10.1109/icmsci67830.2026.11469630,doi_recorded,IEEE Xplore,fulltext_reviewed,include,,,yes,yes,yes,yes,The phishing URL ensemble explicitly combines post-hoc SHAP explanations with an intrinsic EBM component for global and local interpretability.,citation_key_map_core_database.csv
FT128,,,10.1109/icaic67076.2026.11395727,HRIT: A Human-Readable Framework for Phishing URL Detection using Large Language Models,2026,10.1109/icaic67076.2026.11395727,doi_recorded,IEEE Xplore,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,"HRIT transforms selected URL features into human-readable indicators for LLM prompts, but does not provide a separable post-hoc explanation output.",core_database_candidates.csv
FT129,,,10.1080/23742917.2025.2498776,List-unsubscribe-sensible phishing email and ransomware identification using a novel LCRMNN and LBIME,2026,10.1080/23742917.2025.2498776,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E8,"Full text unavailable, unverifiable, or not retrievable",unclear,unclear,unclear,no,The full text could not be retrieved and the record was excluded as unavailable or not suitable for extraction.,core_database_candidates.csv
FT130,,,10.1109/icoeca68095.2026.11485331,Multi-Layer Deep Learning Framework for Real-Time Phishing Detection with Explainability,2026,10.1109/icoeca68095.2026.11485331,doi_recorded,IEEE Xplore,fulltext_reviewed,exclude,E3,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,"The framework generates human-readable layer-trigger explanations, but no explicit post-hoc/separable XAI mechanism is implemented.",core_database_candidates.csv
FT131,S080,Graziano2026PhishVision20ImprovedVisual,10.1007/978-3-032-00137-5_18,PhishVision2.0: An Improved Visual Brand Impersonation Detector for Identifying Phishing Attacks,2026,10.1007/978-3-032-00137-5_18,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,PhishVision2.0 applies GradCam++ to phishing-likelihood predictions and adversarial samples to visualize logo/context regions used by the model.,citation_key_map_core_database.csv
FT132,,,10.1109/icacrs67045.2025.11324317,A Secure Simulation and Defence Framework for Generative AI-Enabled Phishing Threats,2025,10.1109/icacrs67045.2025.11324317,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E3,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,"The paper embeds XAI principles in a proposed defensive architecture, but does not report an implemented post-hoc explainer for phishing detection.",core_database_candidates.csv
