study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,screening_decision,phishing_subtype,modality,model_family,posthoc_xai_method,dataset,evaluation_metrics,baseline_models,explanation_purpose,main_findings,limitations,reproducibility_notes,threats_to_validity,synthesis_notes,primary_modality_normalized,xai_methods_normalized,model_families_normalized,explanation_role_primary,explanation_role_secondary,mixed_purpose_xai,trust_evidence_level,trust_evidence_basis,operational_evidence_level,operational_evidence_basis,validation_gate_reached,dataset_provenance_category,validation_design,reproducibility_level,claim_evidence_mismatch,claim_risk,coding_notes
S041,Kehkashan2025ExplainableWebsiteSecure,FT031,2-s2.0-105022940709,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-27984-w,doi_recorded,2025,Explainable phishing website detection for secure and sustainable cyber infrastructure,include,phishing website/url,website,random forest; SVM; decision tree; logistic regression; KNN,SHAP,"UCI Phishing Websites benchmark dataset / Kaggle mirror (11,055 website records; 30 handcrafted URL and related features; phishing vs legitimate)",accuracy; precision; recall; F1-score,SVM; KNN; decision tree; logistic regression; random forest without SHAP; literature comparators including CNN+LSTM; DNN; LightGBM; and quantized LLMs,SHAP-guided feature ranking/selection to explain phishing decisions and identify practically important website indicators,"Evaluates five supervised classifiers enhanced with SHAP on the UCI/Kaggle phishing websites dataset and finds Random Forest best, reaching 97.0% accuracy, 97.0% precision, 97.6% recall, and 97.3% F1. The paper reports a stronger-than-typical ablation comparison: without SHAP, Random Forest accuracy is 90.0%, rising to 97.0% after SHAP-based top-15 feature refinement, with similar gains for KNN, SVM, LR, and DT. The authors frame the approach as practically deployable for resource-limited settings because it relies on URL-centric features rather than heavier webpage-content pipelines, and they provide SHAP summary analyses across all model families to show which URL/domain indicators drive phishing predictions.","Interpretability is used primarily as SHAP-guided feature selection rather than as a fully separable post-hoc analysis layer; evaluation is limited to one benchmark dataset, a single 80/20 split plus five-fold cross-validation, and no external validation, online deployment, or analyst study; the paper repeatedly invokes trust, transparency, and usability but provides no direct human-subject measurement; reported comparisons to some literature baselines may not be strictly apples-to-apples","Dataset source, feature inventory, train/test split, and compute environment (Windows 10, 2.4 GHz processor, Google Colab GPU) are disclosed; no code repository or packaged artifact release is stated in the paper","Operational utility evidence is moderate rather than strong: the paper argues cost-effectiveness and suitability for low-resource environments, but does not report explicit latency per prediction or end-to-end deployment timings; trust remains rhetorical and model-centric",Explanation role: explanation-informed modeling. Mixed-purpose xAI: yes-feature-selection. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,website,SHAP,classical ML; random forest,explanation-informed modeling,model inspection,yes-feature-selection,none/rhetorical,Trust/transparency claims are rhetorical.,none,Cost-effectiveness is argued without explicit latency or deployment timing.,artifact,public benchmark,single dataset,moderate,SHAP-guided feature pruning is not evidence of user trust or deployment readiness.,moderate,Sustainable-infrastructure rhetoric requires caution.
S042,Almakhamreh2026CrossPhireBenefitingMultimodality,FT058,2-s2.0-105028725588,Scopus; Scopus-expanded; Web of Science,10.3390/app16020751,doi_recorded,2026,CrossPhire: Benefiting Multimodality for Robust Phishing Web Page Identification,include,phishing web page,multimodal: URL; visual screenshot; HTML/text content,hybrid deep learning; multimodal neural network; CNN/ResNet; transformer embeddings,LIME; hierarchical modality ablation explanation,"Five phishing webpage datasets plus Phish360 (10,748 samples spanning 2020-2024) and Phish360-Zeroday (1,080 February 2025 samples). Modalities include GramBeddings URL representation, screenshot visual features, and markup-free HTML/text semantic features.","Same-dataset performance 97.96-100%; cross-dataset generalization 85-96%; zero-day degradation 10-16%. Runtime evidence: neural inference about 0.08 s/80 ms, total pipeline about 1.58 s dominated by data preparation, screenshot capture around 1.2 s and HTML parsing/translation dependencies; batch size 32 throughput 55.2 samples/s; model 144 MB FP32 with INT8 projection 0.02-0.05 s and 36 MB.","Unimodal and multimodal/ablation comparisons across URL, visual, and content channels; cross-dataset and zero-day evaluations are used as robustness baselines.","Hierarchical LIME explainer with modality-level URL/visual/content ablation plus character, grid, and token perturbations for local explanation of multimodal web-page decisions.","CrossPhire reports multimodal performance under same-dataset, cross-dataset, zero-day, throughput, latency, and model-size conditions. Combining URL, screenshot, and HTML/text content improves overall coverage, although zero-day evaluation shows meaningful degradation. LIME explanations are hierarchical, moving from modality contribution to local character, grid, or token perturbations. No human or analyst evaluation of trust is reported. Public data and code improve reproducibility relative to many studies in the corpus.","The authors note PhishTank/OpenPhish reporting bias, Alexa seed bias, desktop screenshot assumptions at 1280x960, seasonal and short-lived campaign bias, modality-dropout assumptions, Google Translate API latency/cost/dependency, and omission of third-party domain checking by design. Same-dataset scores should be weighted less heavily than cross-dataset and zero-day results.","Data/code are reported as public at https://web.cs.hacettepe.edu.tr/~selman/phish360-dataset/. Paper provides dataset construction, modality design, ablations, cross-dataset/zero-day tests, runtime, throughput, and model-size evidence.",Dataset collection biases and screenshot/language-processing assumptions may limit generalization; operational measurements include pipeline bottlenecks but not field deployment with live browser users; trust claims remain rhetorical.,Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: high. Claim-evidence risk: low.,multimodal,LIME; hierarchical modality ablation,deep learning; hybrid ML/DL; transformer/LLM; CNN,local decision rationale,robustness/failure analysis,no,none/rhetorical,Trust claims remain rhetorical.,runtime/resource,"Reports inference time, pipeline time, throughput, model size, cross-dataset and zero-day performance.",artifact,mixed public/custom,temporal/zero-day,high,"Strong generalization and runtime evidence, but no live browser-user or analyst outcome study.",low,Multimodal CrossPhire evidence anchor.
S043,Dhanavanthini2025HarnessingGreyWolf,FT073,2-s2.0-105031429722,Scopus; IEEE Xplore; Scopus-expanded,10.1109/asiancon66527.2025.11281144,doi_recorded,2025,Harnessing Grey Wolf Optimization and SHAP X-AI for Robust and Scalable URL Phishing Detection,include,phishing website/url,url,hybrid deep learning; CNN-BiLSTM; optimization-assisted feature selection,SHAP; Grey Wolf Optimization feature selection,"URL phishing datasets described inconsistently as Hugging Face Datasets Hub and as PhishTank/Kaggle sources; thousands of labeled phishing/legitimate URLs with preprocessing, duplicate/null removal, URL feature extraction, normalization, and synthetic URL augmentation. The framework starts from 56 URL attributes before GWO feature selection.","Accuracy, precision, recall, and F1 are specified as evaluation metrics, but the extracted full text reports only qualitative/high-confidence results and does not provide a numeric performance table. SHAP examples are shown for legitimate and phishing predictions.",Traditional phishing URL methods and baseline models are discussed conceptually; the concrete implemented detector is CNN + BiLSTM with GWO-selected URL features.,SHAP is applied after model testing to explain individual legitimate/phishing URL predictions and visualize which URL attributes push the decision; GWO performs upstream feature selection independently of SHAP.,"the paper proposes a phishing URL detector that combines Grey Wolf Optimization for selecting relevant URL attributes with a CNN-BiLSTM classifier and SHAP explanations. The contribution is positioned around interpretability, dimensionality reduction, and real-time URL classification, with SHAP figures explaining legitimate and phishing decisions through suspicious keywords, special characters, and unusual URL structure. However, the paper does not provide numeric accuracy/precision/recall/F1 results in the extracted text, despite naming those metrics. Trust is framed rhetorically as transparency and user confidence; no user or analyst study is reported. Operational utility is inferred from feature reduction and proposed browser/email-filter/Flask/Streamlit integration, but no measured latency, throughput, or deployed workflow is reported.","Future work calls for broader datasets, additional feature engineering, transformer architectures, edge-device optimization, security-system integration, multimodal DNS/content features, and user studies. Dataset provenance is not fully stable across sections, alternating among Hugging Face, PhishTank, and Kaggle descriptions.","Provides pipeline components, preprocessing steps, model architecture, GWO equations, loss/metric formulas, and SHAP example figures. Numeric performance results and code availability were not identified in the extracted full text.",Missing numeric results limit evidence strength; dataset-source ambiguity weakens reproducibility; real-time and trust claims are unmeasured; GWO feature selection makes the XAI role mixed-purpose rather than purely post-hoc.,Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: unclear. Claim-evidence risk: high.,url,SHAP,deep learning; hybrid ML/DL; CNN; optimization-assisted ML,local decision rationale,,no,none/rhetorical,Real-time and trust claims are unmeasured.,none,No numeric runtime or deployment evidence.,artifact,unclear/on request,unclear,unclear,Missing numeric results and inconsistent provenance make claims high risk.,high,GWO+SHAP paper with limited extractable metrics.
S044,Alorvor2025RealTimeBrandProtection,FT026,2-s2.0-105017434519,Scopus; Scopus-expanded; Web of Science,10.3390/electronics14183746,doi_recorded,2025,Real-Time Phishing Detection for Brand Protection Using Temporal Convolutional Network-Driven URL Sequence Modeling,include,brand-impersonation URL phishing,url,deep learning; temporal convolutional network with attention,SHAP; attention visualization,"GramBeddings balanced URL dataset with 800,000 URLs (400k phishing, 400k legitimate; train/test about 639,999/159,999) and external PhiUSIIL validation dataset with 235,795 URLs (134,850 legitimate, 100,945 phishing).","TCNWithAttention achieved 97.54% accuracy and 97.51% F1 on GramBeddings. On PhiUSIIL it achieved 81% phishing recall and AUC 0.97. Attention-SHAP consistency: Pearson r=0.72, Spearman rho=0.68, top-k Jaccard 0.6-0.8, token-importance ROC-AUC about 0.85. CPU-only latency reported below 50 ms per URL.",CNN; BiLSTM; BERT/DistilBERT transformer baselines.,"Character-level attention shows where the model focuses in the URL, while SHAP quantifies token/character contributions to phishing versus legitimate decisions.","The paper proposes a URL-only TCNWithAttention detector for real-time brand protection. It prioritizes deployability over transformer raw accuracy, reporting strong benchmark performance, external validation, CPU-only sub-50 ms inference, and a Streamlit prototype for single/batch URL analysis. SHAP and attention are aligned quantitatively and illustrated on phishing/legitimate URLs. Operational utility is measured through latency and prototype evidence; trust remains rhetorical because the feedback mechanism logs thumbs up/down but no evaluated analyst/user study is reported.","The model is URL-only and vulnerable to adversarial obfuscation, IDNs/homoglyphs, misleading brand tokens, and very long URLs exceeding the 128-character input limit. No explicit adversarial training or measured human trust/usability study is reported.","Architecture, example URLs, Streamlit/SQLite design, and evaluation datasets are described. Dataset accessibility is mixed and code availability is not clearly established in the converted full text.","Some performance claims vary across abstract/discussion language, and external validation shows reduced recall. Analyst-facing explainability may expose heuristics, so the authors restrict detailed explanations to SOC-style contexts.",Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: automated proxy. Operational evidence: prototype/interface. Validation gate: interface. Reproducibility: moderate. Claim-evidence risk: moderate.,url,SHAP; attention/transformer visualization,deep learning; CNN,model inspection,robustness/failure analysis,no,automated proxy,Attention-SHAP consistency metrics are automated explanation-alignment proxies.,prototype/interface,"A working Streamlit application supports single/batch URL analysis, SHAP visualization, bilingual interaction, and feedback logging.",interface,public benchmark,cross-dataset/external,moderate,"Real-time evidence is measured, but analyst-facing explainability and trust are not.",moderate,Real-time TCN with external validation.
S045,Tawfik2025ExplainableFewshotModern,FT013,2-s2.0-105023534042,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-27500-0,doi_recorded,2025,Explainable few-shot learning with modern BERT for detecting emerging phishing attacks using XF PhishBERT,include,phishing URL / emerging phishing campaigns,url/website,transformer/LLM; few-shot learning; hybrid ML/DL,SHAP; LIME; attention visualization; counterfactual explanation,"Comprehensive phishing website dataset (DATA1) with 88,647 URLs: 58,000 legitimate and 30,647 phishing, with 112/111 engineered features; PhiUSIIL (DATA2) with 235,795 URLs and 54 features; dynamic feeds from PhishTank, Phishing Database GitHub repository, APWG eCrime exchange, Majestic Million, and Tranco; 30-day browser-extension deployment processed 45,782 unique URLs",accuracy; precision; recall; F1; MCC; AUC; cross-dataset F1/generalizability retention; latency; user comprehension rate; ablation results,"traditional ML; ModernBERT text-only; PhiUSIIL; PMANet; TransURL; BERT-based baseline; ablations without ModernBERT, ensemble selection, MAML, prototypical network, and XAI","support few-shot phishing classification with analyst/user-facing rationales through SHAP feature importance, LIME/local URL component explanations, attention visualization, and counterfactual changes","XF-PhishBERT reports very strong few-shot performance: 1-shot accuracy is 98.50% on DATA1 and 99.00% on DATA2, while 10-shot settings reach 99.99-100.00% across datasets. In supervised comparison, DATA1 reaches 99.97% accuracy and DATA2 reaches 99.95%, outperforming cited PhiUSIIL, PMANet, TransURL, and BERT baselines. Cross-dataset generalizability retention is reported as 186.43% for the full model versus 39.37% for traditional ML. Operational evidence is measured: training required about 22 hours/run on V100/A100-class GPUs, inference is 35ms per URL on GPU and 220ms on CPU-only environments, and a Chrome extension deployment processed 45,782 URLs over 30 days with 98.34% precision and 42ms average latency. User-facing explanation testing with 50 non-technical participants reports 87% comprehension for basic explanations and 72% for intermediate explanations, giving measured comprehension/utility evidence rather than merely rhetorical trust.",Few-shot performance is sensitive to support-set quality; poor selections can reduce accuracy. Engineered features may become obsolete as attack techniques evolve. Shortened URLs and mobile-truncated URLs remain difficult because many URL-structure features become unavailable. Explainability adds overhead: feature extraction adds about 18ms and the complete explanation pipeline adds 2.1x inference time. Real-world traffic has extreme class imbalance that differs from balanced evaluation episodes.,"Datasets are public: DATA1 from Vrban?i? et al. and DATA2 from Prasad and Chandra; dynamic feed sources are named. Source code is reported publicly available at https://github.com/kmkholm/phishing. Implementation details include PyTorch/Transformers, ModernBERT, prototypical networks, MAML, AdamW learning rates, FP16, fixed random seeds, bootstrap resampling, and browser-extension architecture.","Reported near-perfect metrics may reflect benchmark or episodic evaluation conditions and need independent reproduction. User testing measures comprehension on simplified explanation levels but does not directly measure long-term trust calibration, analyst accuracy, or security behavior. Deployment precision relies on manual verification over a 30-day window and may not transfer to heavily imbalanced enterprise traffic or adversarially adapted attacks.",Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: explicit human/user/analyst evaluation. Operational evidence: field setting. Validation gate: human interpretation. Reproducibility: high. Claim-evidence risk: low.,url/website,SHAP; LIME; attention/transformer visualization; counterfactual explanation,hybrid ML/DL; transformer/LLM; few-shot learning,local decision rationale,operational interface support,no,explicit human/user/analyst evaluation,Reports human comprehension/utility testing for simplified explanations.,field setting,"A browser extension was evaluated over 30 days on 45,782 unique URLs, with 42 ms average processing time and manual verification of detected phishing attempts.",human interpretation,mixed public/custom,cross-dataset/external,high,"Human interpretation is measured, but long-term trust calibration and behavior are not.",low,Few-shot phishing detection with explicit human-comprehension evaluation.
S046,Bhavana2025ContextAwareEmailHybrid,FT057,2-s2.0-105032181494,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ic366947.2025.11290431,doi_recorded,2025,Context-Aware Phishing Email Detection Using Hybrid Machine Learning and Explainable AI,include,phishing email; spam/phishing email corpus,email text,classical ML; deep learning; transformer/DistilBERT,LIME; SHAP; BERTViz,"Unified balanced corpus from three public email datasets: mail_data.csv (5,572 emails), spam_ham_dataset.csv (5,171 emails), and Ling.csv (2,859 labeled emails), normalized into about 13,602 email samples. Labels mix ham/spam with spam described as including malicious phishing emails; SMOTE used for class imbalance.","Accuracy, precision, recall, F1, training time, and memory/resource usage. Table reports RF 96.7% accuracy, NB 94.3%, XGBoost 97.3%, CNN 95.8%, LSTM 96.2%, CNN-LSTM 96.8%, and DistilBERT 98.2% with 98% precision/recall and 97%+ F1. Training/resource examples: NB about 3 s/400 MB, RF about 10 s/700 MB, XGBoost about 15 s/1 GB, CNN about 3 min CPU or 1 min GPU/2-3 GB RAM, LSTM about 4 min CPU or 1.5 min GPU/3-4 GB, CNN-LSTM about 5 min CPU or 2 min GPU/3-5 GB, DistilBERT about 10-12 min GPU or 40 min CPU and 6-8 GB RAM or >4 GB GPU VRAM.","RF, Multinomial Naive Bayes, XGBoost, CNN, LSTM, CNN-LSTM, and DistilBERT.","LIME explains individual RF/NB/XGBoost predictions through influential words; SHAP explains XGBoost global and local TF-IDF term contributions; BERTViz visualizes DistilBERT attention to suspicious links, money-related terms, and urgency cues.","the study compares classical ML, deep learning, and DistilBERT for email phishing/spam detection and finds DistilBERT strongest at 98.2% accuracy, while XGBoost is the strongest traditional model at 97.3%. It also reports training-time and memory trade-offs, making it useful for operational-cost synthesis even though no live email-filter deployment is evaluated. XAI is multi-method: LIME for individual word-level explanations, SHAP for XGBoost feature relevance, and BERTViz for transformer attention. Trust is claimed through transparency/accountability language but no human or analyst evaluation is conducted.","The corpus merges spam/ham datasets and treats spam as including phishing, so phishing-specific label purity is a concern. Authors note English/informal-language bias, source differences, future multilingual extension, adversarial-resilience work, and mobile optimization needs.","Dataset names/sizes, preprocessing, TF-IDF top 5,000 features, tokenization, SMOTE, model families, table metrics, and training/resource estimates are reported. Code availability was not identified in the extracted full text.",Spam-phishing conflation may inflate relevance to phishing-specific detection; no external/live email stream validation; interpretability is not linked to measured user trust or analyst decision quality; training cost does not establish inference latency.,Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: high.,email,SHAP; LIME; attention/transformer visualization; BERTViz,classical ML; deep learning; transformer/LLM,local decision rationale,model inspection,no,none/rhetorical,Interpretability is not linked to measured trust or analyst decisions.,runtime/resource,Training time and memory/resource usage are reported.,artifact,public benchmark,single dataset,moderate,Spam-phishing label impurity and no human validation limit claim strength.,high,Email context-aware XAI with label-purity caveat.
S047,Aldoufani2025IntelligentSystemDeep,FT048,2-s2.0-105031377997,Scopus; IEEE Xplore; Scopus-expanded,10.1109/isncc66965.2025.11250409,doi_recorded,2025,An Intelligent Phishing Detection System Using Deep Learning and Explainable AI,include,email phishing and malicious/phishing URL detection,email; url,transformer/LLM; deep learning,LIME,"Email Kaggle dataset by Naser Abdullah Alam with 82,486 samples (42,891 phishing and 39,595 legitimate). URL Kaggle dataset by Manu Siddhartha with 641,119 URLs (213,016 malicious and 428,103 benign). Both use 80/20 split; training on NVIDIA RTX GPU is reported.","Email DistilBERT: accuracy 0.9979, precision 0.9984, recall 0.9978, F1 0.9981 and AUC 0.9999. URL DistilBERT: accuracy/precision/F1 about 0.99, benign recall 1.00, malicious recall 0.99, ROC-AUC 0.9994 and PR-AUC 0.9990.",Dual DistilBERT models for email and URL pipelines; deployment wrapper includes Flask backend and Chrome extension/web UI rather than broad baseline comparison.,"LIME explains email and URL predictions through API endpoints, surfacing influential words/tokens or URL components in the browser/Flask workflow.","The paper implements a dual DistilBERT phishing system for email and URL inputs, exposed through Flask API routes (/predict/email, /predict/url, /explainemail, /explainurl) and a Chrome extension/web UI. Reported predictive performance is extremely high on both Kaggle corpora. LIME provides local explanations for live predictions, while system logs capture requests and explanations. Trust remains rhetorical because no user evaluation is reported.","The authors discuss latency and memory constraints, LIME computational expense, occasional divergence between explanations and human reasoning, and Chrome/CORS/API latency integration challenges. The sub-two-second browser-response target is described as a system requirement, but exact measured latency tables are not reported.","Dataset sources, split and broad architecture are named, and API routes are described. Exact code, trained weights, preprocessing scripts, extension package and random seeds are not established from the extracted evidence.","Very high benchmark scores on large Kaggle datasets may not transfer to temporal or adversarial phishing streams. LIME explanations are local and computationally costly, with no human-grounded validation of explanation usefulness.",Explanation role: operational interface support. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: prototype/interface. Validation gate: interface. Reproducibility: moderate. Claim-evidence risk: moderate.,email,LIME,deep learning; transformer/LLM,operational interface support,local decision rationale,no,none/rhetorical,LIME usefulness is not human-grounded.,prototype/interface,"API/browser workflow and response-time target are described, but measured latency tables are absent.",interface,public benchmark,multi-dataset,moderate,"Prototype constraints are acknowledged, but benchmark scores do not establish deployability or trust.",moderate,Transformer + LIME prototype.
S048,Mahmood2025IntelligentCyberDefense,FT028,2-s2.0-105013263846,Scopus; Scopus-expanded,10.58346/jowua.2025.i2.036,doi_recorded,2025,Intelligent Cyber Defense: Utilizing Deep Learning for Robust Detection and Prevention of Phishing Websites,include,phishing website,website,ensemble ML; boosted trees,LIME,"Two phishing website datasets: Web Page Phishing Detection Dataset with 11,430 URLs and 87 features (balanced 50/50 phishing-legitimate), and a Phishing Dataset for Machine Learning with about 10,000 webpages, 48 features, collected across Jan/Jun 2015 and May-Jun 2017 using Selenium WebDriver.","Dataset 1: XGBoost accuracy 0.973316, recall 0.971656, precision 0.974245, F1 0.972949, training time 0.780205 s; stacking ensemble accuracy 0.975503. Dataset 2: XGBoost accuracy 0.9895, recall 0.993083, precision 0.986261, F1 0.989660, training time 0.944428 s; stacking ensemble also 0.9895 accuracy.",XGBoost; Extra Trees; Random Forest; Decision Tree; Gradient Boosting; SVM; MLP; hard voting; soft voting; stacking ensemble.,"LIME explains XGBoost predictions by ranking phishing/legitimate feature contributions such as page_rank, google_index, nb_www, phish_hints, iframe, brand_in_path, domain_in_brand, DNS record, onmouseover, and domain-name mismatch indicators.","The study benchmarks several tree/ensemble models and finds XGBoost or stacking ensembles strongest across two phishing website datasets. LIME is used after model selection to interpret local decisions and surface URL/content/external-service indicators. Training-time values provide limited measured operational evidence, but there is no live deployment or user evaluation. Trust is a rhetorical claim linked to interpretability.","Future work calls for improved real-time detection, adaptability to evolving phishing, larger datasets, and more real-time phishing scenarios. No measured analyst/user trust study is reported.","Dataset names and some provenance are provided, including a Kaggle web-page phishing source; model metrics and training times are tabulated. Code is not clearly linked.","The paper repeatedly frames the method as deep learning despite using mainly classical ML ensembles. Some converted text contains inconsistencies, and explanation analysis is illustrative rather than quantitatively evaluated.",Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,website,LIME,boosted trees; ensemble/AutoML,local decision rationale,model inspection,no,none/rhetorical,Trust is asserted without user evidence.,runtime/resource,Training time is tabulated across models/datasets.,artifact,public benchmark,multi-dataset,moderate,Training-time evidence does not establish real-time prevention or trust.,moderate,LIME over ensemble website detector.
S049,Lakshmi2026LightPhishAILightweightMultimodal,FT019,2-s2.0-105034415140,Scopus; Scopus-expanded,10.14445/23488549/ijece-v13i3p120,doi_recorded,2026,LightPhishAI: A Lightweight Multimodal Feature Extraction and Fusion Framework for Real-Time Phishing Detection on IoT Devices,include,multimodal phishing website / IoT-edge phishing,url/website; visual; multimodal,deep learning; CNN; transformer/LLM; hybrid ML/DL,Grad-CAM; SHAP; LIME; attention-based modality attribution,"multimodal phishing/benign data from PhishTank and OpenPhish for phishing, Tranco top sites for benign URLs, UCI PhiUSIIL for URL/metadata validation, and Phish-IRIS screenshot corpus for vision validation; each sample aligns URL, screenshot, and metadata; stratified 70/15/15 split",accuracy; precision/recall implied; F1; AUC; GPU latency; edge latency; parameter count; model size; FLOPs; CPU utilization; power; energy per inference; ablation/fusion comparison,text-only TinyBERT/GRU; image-only MobileNetV2/CNN; metadata-only MLP; early fusion; late fusion; BERT-base+MobileNetV2; TinyBERT+MobileNetV2,"make multimodal phishing decisions auditable through Grad-CAM visual localization, SHAP/LIME URL/metadata attribution, and adaptive attention weights over URL, screenshot, and metadata modalities","PhishFusionNet adaptive-attention fusion achieves the best tabled performance among baselines with 95.0% accuracy, 94.2% F1, and 97.9% AUC, outperforming text-only TinyBERT/GRU (90.3% accuracy, 89.1% F1) and static fusion schemes; the abstract also reports 98.4% accuracy and 97.9% F1, so synthesis should flag metric inconsistency. Operational utility is strongly measured: the proposed model has 5.1M parameters, 20.3MB size, 0.62 GFLOPs, 2.1ms GPU latency, and 55ms edge latency on Raspberry Pi 4, versus BERT-base+MobileNetV2 at 114M parameters, 456MB, 12.6 GFLOPs, 14.8ms GPU latency, and about 1050ms edge latency. Resource measurements include 160-180% mean Raspberry Pi CPU utilization, 4.9W power, and about 0.09J per inference. Explanations localize login/credential regions with Grad-CAM and align SHAP/LIME signals around domain age, SSL, WHOIS, IP address, URL length, and suspicious tokens.","The paper claims deployment readiness, but evaluation is prototype/benchmark edge profiling rather than live field deployment. The abstract and later results table report different accuracy/F1 values. Human trust and analyst workflow benefits are asserted through interpretability language but not measured through a user/analyst study.","Experimental setup is detailed: Intel i9-12900K, 64GB RAM, RTX 4090, Python 3.10, PyTorch 2.2, CUDA 12.1, ONNX Runtime 1.17, Raspberry Pi 4, 70/15/15 split, batch size 32, 30 epochs, Adam, cosine decay, warm-up, early stopping. No public code repository is evident in the extracted text.",Cross-source multimodal alignment and screenshot acquisition may introduce selection artifacts. Edge measurements may depend heavily on implementation and ONNX optimizations. Metric inconsistency requires cautious synthesis. Trust claims are not human-validated.,Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,multimodal,SHAP; LIME; attention/transformer visualization; Grad-CAM,deep learning; hybrid ML/DL; transformer/LLM; CNN,model inspection,,no,none/rhetorical,Human trust/workflow benefits are asserted but not evaluated.,runtime/resource,"GPU/edge latency, model size, FLOPs, CPU, power, and energy evidence are reported.",artifact,mixed public/custom,cross-dataset/external,moderate,"Edge profiling supports efficiency claims, but not live deployment or trust claims.",moderate,Multimodal edge-oriented study with measured operational evidence.
S050,Vishwajeeth2025ExplainableAdversariallyEvaluated,FT069,2-s2.0-105030075493,Scopus; IEEE Xplore; Scopus-expanded,10.1109/discover66922.2025.11258928,doi_recorded,2025,Explainable and Adversarially Evaluated CNN for Visual Phishing Detection,include,visual phishing website,visual screenshot,CNN; MobileNetV2; visual deep learning,LIME,"Balanced high-resolution screenshot dataset combining phishing screenshots from the Mendeley Phishing Detection Dataset with manually captured legitimate screenshots from government, banking, and e-commerce websites; images resized to 224 x 224 and normalized.","Accuracy, adversarial robustness, confidence drop, parameters, and inference latency. MobileNetV2 reports 95.2% accuracy and 2.4M parameters; baselines: Logistic Regression 84.2%, Random Forest 86.1%, Shallow CNN 91.3%. Adversarial tests on 20 samples: no attack 0/20 misclassified, FGSM epsilon=0.01 misclassifies 3/20 with 22.5% confidence drop, PGD 40 steps misclassifies 6/20 with 35.8% confidence drop. Inference time is about 48 ms per screenshot on a single system.","Logistic Regression, Random Forest, Shallow CNN, and MobileNetV2; optional pipeline mentions Vision Transformer and ResNet as selectable models but table centers on MobileNetV2.","LIME visual overlays identify screenshot regions such as logos, login fields, irregular buttons, misaligned forms, or low-quality logos that influence phishing/legitimate predictions.","the paper is a valuable visual-phishing entry because it combines MobileNetV2 screenshot classification, LIME visual explanation, and adversarial testing with FGSM/PGD. MobileNetV2 outperforms classical and shallow CNN baselines while remaining relatively lightweight. The robustness experiment shows that imperceptible perturbations materially reduce confidence and cause misclassification, especially under PGD. Operational utility is measured as single-system inference latency (~48 ms/screenshot) and model size, but real-world browser/API/hardware latency is explicitly not validated. Trust is discussed as improved transparency for users/auditors but no human-subject or analyst study is reported.","Dataset size/generalizability remain limited; future work targets VisPhish/PhishINTEL expansion, stronger adaptive attacks such as DeepFool/Carlini-Wagner/AutoAttack, practitioner benchmarking, browser add-on/lightweight app deployment, real-world latency testing, multimodal signals, and human-centric interpretability studies.","Reports dataset sources, preprocessing image size, model architecture, baselines, accuracy table, adversarial test settings/results, model parameter count, and single-system inference latency. Code availability was not identified in the extracted full text.",Single-system latency may not transfer to browser/API deployment; adversarial evaluation uses a small 20-sample attack summary and excludes stronger adaptive attacks; LIME overlays are not validated against user/analyst outcomes.,Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,visual,LIME,deep learning; CNN,local decision rationale,robustness/failure analysis,no,none/rhetorical,LIME overlays are not validated with users/analysts.,runtime/resource,Inference latency and parameter count are reported.,artifact,mixed public/custom,single dataset,moderate,Single-system latency and small adversarial sample limit operational generalization.,moderate,Visual phishing CNN + LIME paper.
