study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,primary_modality_normalized,xai_methods_normalized,model_families_normalized,explanation_role_primary,explanation_role_secondary,mixed_purpose_xai,trust_evidence_level,trust_evidence_basis,operational_evidence_level,operational_evidence_basis,validation_gate_reached,dataset_provenance_category,validation_design,reproducibility_level,claim_evidence_mismatch,claim_risk,coding_notes
S031,Weamie2025ExplainableWebsiteEnhancing,FT071,2-s2.0-105012471800,Scopus; Scopus-expanded,10.1007/978-981-96-9872-1_27,doi_recorded,2025,Explainable Machine Learning Models for Phishing Website Detection: Enhancing Transparency and Accuracy in Cybersecurity,url/website,SHAP; LIME,classical ML; boosted trees; deep learning,model inspection,local decision rationale,no,none/rhetorical,Trust claims are rhetorical.,runtime/resource,Offline execution times are reported across models.,artifact,unclear/on request,single dataset,moderate,Execution time does not establish end-to-end operational latency; dataset source is unclear.,moderate,Runtime evidence with provenance caution.
S019,Tashtoush2024ExploringLowlevelStatistical,FT072,2-s2.0-85197388361,Scopus; Scopus-expanded; Web of Science,10.1007/s10586-024-04655-5,doi_recorded,2024,Exploring low-level statistical features of n-grams in phishing URLs: a comparative analysis with high-level features,url,SHAP; LIME,classical ML; boosted trees; deep learning; CNN,explanation-informed modeling,model inspection,yes-model-simplification,none/rhetorical,Trust is rhetorical.,runtime/resource,Training-time reduction ratios are reported through feature-count comparisons.,artifact,public benchmark,single dataset,moderate,Training-time reduction is not evidence of deployment latency or user-facing explanation value.,moderate,Low-level feature/XAI mixed-purpose case.
S043,Dhanavanthini2025HarnessingGreyWolf,FT073,2-s2.0-105031429722,Scopus; IEEE Xplore; Scopus-expanded,10.1109/asiancon66527.2025.11281144,doi_recorded,2025,Harnessing Grey Wolf Optimization and SHAP X-AI for Robust and Scalable URL Phishing Detection,url,SHAP,deep learning; hybrid ML/DL; CNN; optimization-assisted ML,local decision rationale,,no,none/rhetorical,Real-time and trust claims are unmeasured.,none,No numeric runtime or deployment evidence.,artifact,unclear/on request,unclear,unclear,Missing numeric results and inconsistent provenance make claims high risk.,high,GWO+SHAP paper with limited extractable metrics.
S029,Jovanovic2023ImprovingWebsiteHybrid,FT076,2-s2.0-85167715224,Scopus; IEEE Xplore; Scopus-expanded; Web of Science,10.13052/jwe1540-9589.2237,doi_recorded,2023,Improving Phishing Website Detection Using a Hybrid Two-level Framework for Feature Selection and XGBoost Tuning,website,SHAP,boosted trees; optimization-assisted ML,model inspection,,no,none/rhetorical,No user or analyst evidence.,none,No latency or live deployment evidence.,artifact,public benchmark,multi-dataset,moderate,Feature-selection complexity reduction does not establish operational readiness or trust.,moderate,DOFA-XGBoost-SHAP mixed-purpose paper.
S034,Kumar2026IPDMIntelligentECommerce,FT077,2-s2.0-105023312995,Scopus; Scopus-expanded,10.1007/978-3-032-07735-6_26,doi_recorded,2026,IPDM: An Intelligent Phishing Detection Model for E-Commerce Websites,url/website,SHAP,classical ML; deep learning; CNN,model inspection,local decision rationale,no,none/rhetorical,No analyst trust or decision-quality evidence.,runtime/resource,Per-instance inference time is reported.,artifact,public benchmark,single dataset,moderate,"Inference-time evidence is useful, but deployment claims remain prospective.",moderate,CNN website detector with SHAP.
S013,Yadav2026LeveragingLargeLanguage,FT078,2-s2.0-105028163376,Scopus; Scopus-expanded,10.1007/978-3-032-12983-3_46,doi_recorded,2026,Leveraging Large Language Models for Enhanced URL Phishing Detection,url,SHAP; LLM natural-language explanation,boosted trees; hybrid ML/DL; transformer/LLM,local decision rationale,,no,none/rhetorical,LLM rationales are not evaluated for faithfulness or user usefulness.,runtime/resource,Measured latency and resource comparisons are reported; no implemented user-facing interface is evaluated.,artifact,mixed public/custom,single dataset,low,"Large-feed evidence and prototype timing support operational claims, but LLM rationale/trust claims are untested.",moderate,LLM and CatBoost study with measured runtime and prototype evidence.
S054,Liang2025WebsiteConstructionImproved,FT084,2-s2.0-105016998396,Scopus; IEEE Xplore; Scopus-expanded,10.1109/acctcs66275.2025.00142,doi_recorded,2025,Phishing Website Detection Model Construction Based on Improved IHHO-RF-SHAP Algorithm,website,SHAP,ensemble/AutoML; optimization-assisted ML; random forest,model inspection,,no,none/rhetorical,SHAP is not validated with users.,none,Operational claims are inferred only.,artifact,public benchmark,single dataset,moderate,Missing numeric phishing metrics and small UCI dataset weaken evidence.,high,IHHO-RF-SHAP with missing metric extraction.
S017,Matole2026SHAPDrivenFeatureSelection,FT087,2-s2.0-105028271007,Scopus; Scopus-expanded,10.1007/978-3-032-10670-4_28,doi_recorded,2026,SHAP-Driven Feature Selection with Meta-ensemble Classifiers for Efficient Phishing URL Detection,url,SHAP,classical ML; boosted trees; ensemble/AutoML,explanation-informed modeling,model inspection,yes-feature-selection,none/rhetorical,Trust is rhetorical.,none,Feature reduction is reported but no real deployment or latency evidence.,artifact,public benchmark,multi-dataset,moderate,SHAP-driven feature selection should not be treated as mature human-facing XAI.,moderate,SHAP feature-selection meta-ensemble.
S036,Nti2026SynergisticIntrusionIntegrating,FT089,2-s2.0-105029086005,Scopus; Scopus-expanded; Web of Science,10.3390/fi18010030,doi_recorded,2026,Synergistic Phishing Intrusion Detection: Integrating Behavioral and Structural Indicators with Hybrid Ensembles and XAI Validation,url/website,SHAP,boosted trees; ensemble/AutoML; hybrid ML/DL,model inspection,robustness/failure analysis,no,none/rhetorical,Trust is theoretical/rhetorical.,none,No runtime/resource or deployment evidence.,artifact,public benchmark,single dataset,moderate,Behavioral monitoring and privacy claims require operational/user validation not present here.,moderate,Behavioral/structural XAI validation paper.
S016,Sivasankar2025PracticalAddressingChallenges,FT090,2-s2.0-105012195771,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iccrtee64519.2025.11053024,doi_recorded,2025,Towards Practical Phishing Detection: Addressing Challenges with Hybrid Machine Learning Architectures,url/website,SHAP,classical ML; boosted trees; hybrid ML/DL,model inspection,robustness/failure analysis,no,none/rhetorical,No trust or usability evidence.,none,"No measured runtime, latency, or deployment evidence.",artifact,unclear/on request,unclear,low,Perfect baseline metrics suggest leakage or overfitting; treat practicality claims cautiously.,high,Cautionary practicality paper.
S053,Gurjar2021WebSecAsstChromeExtension,FT091,2-s2.0-85113807729,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icces51350.2021.9488953,doi_recorded,2021,WebSecAsst - A Machine Learning based Chrome Extension,website,SHAP,boosted trees,operational interface support,model inspection,no,none/rhetorical,No human trust/usability evidence.,prototype/interface,Chrome-extension workflow and local architecture are implemented and documented.,interface,public benchmark,single dataset,high,"Deployment workflow is demonstrated, but no latency, robustness, or user study is reported.",moderate,Chrome-extension study with workflow-level operational evidence.
S059,Ivanicki2026StudyDegradationAcrossReal,FT092,10.1109/isdfs69419.2026.11459104,IEEE Xplore,10.1109/isdfs69419.2026.11459104,doi_recorded,2026,An Explainable AI Study of Phishing Detection Model Degradation Across Real-World Events,url/website,SHAP; LIME,random forest,robustness/failure analysis,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",none,"No concrete runtime, resource, prototype, workflow, or field-deployment evidence is extracted.",interface,public benchmark,temporal/zero-day,moderate,"Evidence is comparatively stronger, but conclusions should still remain limited to the reported validation gate.",low,Derived coding generated from full-text extraction and checked conservatively.
S060,Asal2026EmailClassificationComparativeStudy,FT093,10.2339/politeknik.1745083,Web of Science,10.2339/politeknik.1745083,doi_recorded,2026,"Deep learning and explainable AI for email phishing classification: A comparative study of TabNet, NODE and FT-transformer models",email,SHAP; LIME,deep learning; transformer/LLM,model inspection,local decision rationale,no,none/rhetorical,"SHAP/LIME plots are reported, but no human evaluation or automated explanation-quality proxy is measured.",none,"No runtime/resource, prototype, workflow, or field evidence is reported for the explanation layer.",artifact,public benchmark,single dataset,moderate,"Evidence is comparatively stronger, but conclusions should still remain limited to the reported validation gate.",low,Derived coding generated from full-text extraction and checked conservatively.
S061,Kumar2025HumanWrittenGeneratedEmails,FT094,10.1109/incowoco68239.2025.11407086,IEEE Xplore,10.1109/incowoco68239.2025.11407086,doi_recorded,2025,Detecting Human-Written and AI-Generated Phishing Emails with DistilBERT and Explainable AI,email,SHAP; LIME,transformer/LLM,local decision rationale,,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",none,No measured runtime/resource or implemented interface evidence is reported for the explanation layer.,artifact,custom/proprietary,single dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S062,Fatih2025EvaluatingLIMEExplainabilityURL,FT095,10.1109/icetisi67983.2025.11406019,IEEE Xplore,10.1109/icetisi67983.2025.11406019,doi_recorded,2025,Evaluating LIME-Based Explainability for Phishing URL Detection Across Multiple Machine Learning Models,url,LIME,classical ML; boosted trees,model inspection,local decision rationale,no,automated proxy,"The study reports explanation-quality, agreement, stability, or similar automated/proxy evidence, not measured trust.",none,"No concrete runtime, resource, prototype, workflow, or field-deployment evidence is extracted.",artifact,public benchmark,single dataset,moderate,"Evidence supports artifact-level or bounded operational claims, but not broad trust or field-effectiveness claims.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S063,Uddin2025SiteHighEfficiencyBoosting,FT096,10.1049/tje2.70110,Web of Science,10.1049/tje2.70110,doi_recorded,2025,Explainable Machine Learning for Phishing Site Detection: A High-Efficiency Approach Using Boosting Models and SHAP,url/website,SHAP,boosted trees,model inspection,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",runtime/resource,"Runtime, latency, resource, model-size, or timing evidence is reported.",artifact,public benchmark,single dataset,moderate,"Evidence supports artifact-level or bounded operational claims, but not broad trust or field-effectiveness claims.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S064,Yi2025URLInterpretabilityCrossDataset,FT097,10.1002/spy2.70175,Web of Science,10.1002/spy2.70175,doi_recorded,2026,Phishing URL Detection and Interpretability With Machine Learning: A Cross-Dataset Approach,url,SHAP,random forest; boosted trees,operational interface support,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",prototype/interface,"A prototype, API, browser, dashboard, platform, GUI, or real-time interface is described.",interface,unclear/on request,cross-dataset/external,moderate,"Evidence is comparatively stronger, but conclusions should still remain limited to the reported validation gate.",low,Derived coding generated from full-text extraction and checked conservatively.
S065,Alasmari2025IoTIntegratedCNNLSTM,FT098,10.1007/s43926-025-00202-9,Scopus; Scopus-expanded,10.1007/s43926-025-00202-9,doi_recorded,2025,Phishing detection in IoT: an integrated CNN-LSTM framework with explainable AI and LLM-enhanced analysis,multimodal,SHAP; LIME; LLM natural-language explanation; integrated gradients,deep learning; transformer/LLM; CNN/visual detector,local decision rationale,,no,explicit human/user/analyst evaluation,"The extracted text reports expert, user, analyst, questionnaire, or human-annotation evidence; treat as limited human-facing evidence rather than field trust.",runtime/resource,"Runtime, latency, resource, model-size, or timing evidence is reported.",human interpretation,unclear/on request,multi-dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S066,Kirupa2025SafeSurfBrowserIntegratedHybrid,FT099,10.1109/gcwcn66157.2025.11448531,IEEE Xplore,10.1109/gcwcn66157.2025.11448531,doi_recorded,2025,SafeSurf-AI: A Browser-Integrated Hybrid Phishing and Spam Detection Framework with Real-Time Awareness Simulation and Explainable AI,multimodal,SHAP; LIME,boosted trees; deep learning; hybrid ML/DL,operational interface support,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",prototype/interface,A Chrome extension and Flask-based browser workflow provide real-time predictions and SHAP/LIME explanations.,interface,mixed public/custom,multi-dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S067,AlSubaiey2024NovelInterpretableRobustWeb,FT100,10.1016/j.compeleceng.2024.109625,Scopus; Web of Science; Scopus-expanded,10.1016/j.compeleceng.2024.109625,doi_recorded,2024,Novel interpretable and robust web-based AI platform for phishing email detection,email,LIME,classical ML; random forest,operational interface support,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",prototype/interface,"A prototype, API, browser, dashboard, platform, GUI, or real-time interface is described.",interface,unclear/on request,multi-dataset,moderate,"High benchmark performance and a web platform are reported, but heterogeneous source merging and possible spam/phishing label conflation constrain generalization.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S068,Choutapally2024PaciPhishInterpretableURL,FT101,10.1109/cars61786.2024.10778820,IEEE Xplore; Scopus; Scopus-expanded,10.1109/cars61786.2024.10778820,doi_recorded,2024,PaciPhish: Intelligent and Interpretable Phishing URL Detection Framework,url,LIME,classical ML; deep learning,local decision rationale,,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",runtime/resource,"Runtime, latency, resource, model-size, or timing evidence is reported.",artifact,mixed public/custom,single dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S069,Kluge2021ExplainingSuspicionDesignUser,FT102,10.1007/978-3-030-86797-3_17,Scopus; Scopus-expanded,10.1007/978-3-030-86797-3_17,doi_recorded,2021,Explaining the Suspicion: Design of an XAI-Based User-Focused Anti-Phishing Measure,email,custom text-highlight explanation,deep learning,local decision rationale,,no,explicit human/user/analyst evaluation,"The extracted text reports expert, user, analyst, questionnaire, or human-annotation evidence; treat as limited human-facing evidence rather than field trust.",none,"No concrete runtime, resource, prototype, workflow, or field-deployment evidence is extracted.",human interpretation,unclear/on request,single dataset,moderate,"Evidence is comparatively stronger, but conclusions should still remain limited to the reported validation gate.",low,Derived coding generated from full-text extraction and checked conservatively.
S070,Ananthajothi2026HybridTabNetTransformerText,FT103,10.1109/iitcee67948.2026.11394524,IEEE Xplore,10.1109/iitcee67948.2026.11394524,doi_recorded,2026,A Hybrid Deep Learning Approach for Phishing Detection Using TabNet and Transformer-Based Text Analysis,multimodal,SHAP,deep learning; transformer/LLM; hybrid ML/DL,model inspection,local decision rationale,no,none/rhetorical,SHAP feature attribution is reported without a human study or a quantitative explanation-quality proxy.,none,No measured runtime/resource or implemented interface evidence is reported.,artifact,custom/proprietary,multi-dataset,low,"Inconsistent reported accuracy, incomplete dataset provenance, and underspecified external validation create a material claim-evidence mismatch.",high,Derived coding generated from full-text extraction and checked conservatively.
S071,Shakir2026NovelPSOOptimizedRandom,FT104,10.22266/ijies2026.0531.02,Scopus; Scopus-expanded,10.22266/ijies2026.0531.02,doi_recorded,2026,A Novel PSO-optimized Random Forest Model for Enhanced Phishing Detection,url/website,LIME,random forest; optimization-assisted ML,local decision rationale,,no,none/rhetorical,"LIME provides local feature contributions, but explanation usefulness is not evaluated with users or automated trust proxies.",runtime/resource,"Training/testing time is measured, but no implemented interface or lifecycle workflow is evaluated.",artifact,public benchmark,multi-dataset,moderate,"Evidence is comparatively stronger, but conclusions should still remain limited to the reported validation gate.",low,Derived coding generated from full-text extraction and checked conservatively.
S072,Sathiyapriya2026EmailLinkGenerativeML,FT105,10.1109/idciot67589.2026.11455836,IEEE Xplore,10.1109/idciot67589.2026.11455836,doi_recorded,2026,AI-Based Phishing Email and Link Detection Framework Through Generative AI and Explainable ML,multimodal,SHAP; LIME; LLM natural-language explanation,boosted trees; transformer/LLM; hybrid ML/DL,operational interface support,local decision rationale,no,behavior/field outcome,A 12-analyst user study reports a 37% reduction in average investigation/triage time when explainability reports are used.,workflow/lifecycle,"Workflow, lifecycle, throughput, retraining, or SOC-style evidence is reported.",decision/behavior,mixed public/custom,temporal/zero-day,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S073,Shanthi2026SecureURLIntelligenceEngine,FT110,10.1109/iciss67859.2026.11453639,IEEE Xplore,10.1109/iciss67859.2026.11453639,doi_recorded,2026,Secure URL Intelligence Based Engine for Phishing Detection,url,SHAP,random forest; boosted trees; ensemble/AutoML; deep learning; CNN/visual detector,operational interface support,local decision rationale,no,explicit human/user/analyst evaluation,"The extracted text reports expert, user, analyst, questionnaire, or human-annotation evidence; treat as limited human-facing evidence rather than field trust.",prototype/interface,"A prototype, API, browser, dashboard, platform, GUI, or real-time interface is described.",human interpretation,unclear/on request,single dataset,moderate,"Measured usability evidence supports bounded human-facing claims, but dataset provenance and study-design reporting remain incomplete.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S074,Mursi2025AgainstSmishingKenyaCulturally,FT111,10.1109/ictmod66732.2025.11371821,IEEE Xplore; Scopus; Scopus-expanded,10.1109/ictmod66732.2025.11371821,doi_recorded,2025,AI Against Smishing in Kenya: Culturally Adapted SMS Scam Detection for Digital Trust,sms/smishing,SHAP,classical ML; boosted trees,operational interface support,model inspection,no,explicit human/user/analyst evaluation,"Volunteers, students, and early testers reviewed Streamlit prototype predictions and provided qualitative safe/scam feedback.",prototype/interface,A Streamlit prototype with real-time review and user feedback is implemented.,human interpretation,public benchmark,single dataset,high,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S075,Chiper2025EveryCharacterCountsFrom,FT112,10.1109/ictai66417.2025.00066,IEEE Xplore; Scopus; Scopus-expanded,10.1109/ictai66417.2025.00066,doi_recorded,2025,Every Character Counts: From Vulnerability to Defense in Phishing Detection,email,Grad-CAM/CAM,deep learning; CNN/visual detector,robustness/failure analysis,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",runtime/resource,"CPU experimental execution is reported, but no implemented operational interface or lifecycle workflow is evaluated.",artifact,public benchmark,single dataset,high,"Evidence supports artifact-level or bounded operational claims, but not broad trust or field-effectiveness claims.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S076,Kapoor2025PrivacyPreservingEnsembleURL,FT113,10.1109/medcom67532.2025.11405148,IEEE Xplore,10.1109/medcom67532.2025.11405148,doi_recorded,2025,Explainable and Privacy-Preserving Ensemble Framework for Phishing URL Detection,url,SHAP; LIME,classical ML; random forest; ensemble/AutoML,model inspection,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",none,"Federated-learning simulation is reported, but no implemented operational interface or field deployment is evaluated.",artifact,public benchmark,single dataset,low,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S077,Zhang2025TowardsEducationalZeroShot,FT114,10.1109/bigdata66926.2025.11402600,IEEE Xplore,10.1109/bigdata66926.2025.11402600,doi_recorded,2025,Towards Explainable and Educational Phishing Detection: A Zero-Shot LLM Approach,visual,LLM natural-language explanation,transformer/LLM,local decision rationale,,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",runtime/resource,LLM inference latency/cost is reported; no implemented interface or lifecycle deployment is evaluated.,artifact,custom/proprietary,single dataset,moderate,"Evidence supports artifact-level or bounded operational claims, but not broad trust or field-effectiveness claims.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S078,Greco2023ExplainingAttacksEnhanceUser,FT121,PlanB:PB-ALL-030; sources:Scopus-expanded; verified:CEUR/DBLP; url:https://ceur-ws.org/Vol-3488/paper22.pdf,Scopus; Scopus-expanded,,no_doi_identified,2023,Explaining Phishing Attacks: An XAI Approach to Enhance User Awareness and Trust,email,SHAP; LIME; Explainable Boosting Machine,classical ML; random forest; boosted trees; deep learning,operational interface support,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",prototype/interface,An explanatory warning-dialog/interface is designed and instantiated; no lifecycle or field deployment is evaluated in this study.,interface,mixed public/custom,single dataset,moderate,"Evidence supports artifact-level or bounded operational claims, but not broad trust or field-effectiveness claims.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S079,Bharanidharan2026EnsembleUrlLightweightCyber,FT127,10.1109/icmsci67830.2026.11469630,IEEE Xplore,10.1109/icmsci67830.2026.11469630,doi_recorded,2026,Explainable Ensemble Learning for Phishing Url Detection With Lightweight Cyber Threat Intelligence and Multi-Objective Optimization,url,SHAP; Explainable Boosting Machine,boosted trees; ensemble/AutoML,model inspection,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",runtime/resource,"Runtime, latency, resource, model-size, or timing evidence is reported.",artifact,public benchmark,single dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S080,Graziano2026PhishVision20ImprovedVisual,FT131,10.1007/978-3-032-00137-5_18,Scopus; Scopus-expanded,10.1007/978-3-032-00137-5_18,doi_recorded,2026,PhishVision2.0: An Improved Visual Brand Impersonation Detector for Identifying Phishing Attacks,visual,Grad-CAM/CAM,deep learning; CNN/visual detector,robustness/failure analysis,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",runtime/resource,"Runtime, latency, resource, model-size, or timing evidence is reported.",artifact,mixed public/custom,single dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S081,Althoubi2025CATGPT4Context,FT136,10.1109/cyber-ai66431.2025.11233494,IEEE Xplore; Scopus; Scopus-expanded,10.1109/cyber-ai66431.2025.11233494,doi_recorded,2025,CAT-GPT-4: Context-Aware Phishing Detection with Explainability,email,LIME; attention/transformer visualization,transformer/LLM; hybrid ML/DL,local decision rationale,,no,explicit human/user/analyst evaluation,"The extracted text reports expert, user, analyst, questionnaire, or human-annotation evidence; treat as limited human-facing evidence rather than field trust.",runtime/resource,"Runtime, latency, resource, model-size, or timing evidence is reported.",human interpretation,mixed public/custom,single dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S082,Tashtoush2025LeveragingLargeLanguageAnalysis,FT144,10.1109/cyber-ai66431.2025.11233620,IEEE Xplore; Scopus; Scopus-expanded,10.1109/cyber-ai66431.2025.11233620,doi_recorded,2025,Leveraging Large Language Models for Detection and Intelligent Analysis of Phishing Threats,email,LLM natural-language explanation,transformer/LLM,operational interface support,local decision rationale,no,explicit human/user/analyst evaluation,"The extracted text reports expert, user, analyst, questionnaire, or human-annotation evidence; treat as limited human-facing evidence rather than field trust.",prototype/interface,"A prototype, API, browser, dashboard, platform, GUI, or real-time interface is described.",human interpretation,public benchmark,single dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S083,Mendoza2025PhishFindRealTime,FT146,10.1145/3771678.3771683,Scopus; Scopus-expanded,10.1145/3771678.3771683,doi_recorded,2025,PhishFind: A Machine Learning-Based System for Real-Time Phishing Detection,url/website,LLM natural-language explanation,classical ML; random forest; boosted trees; transformer/LLM,operational interface support,local decision rationale,no,explicit human/user/analyst evaluation,"The extracted text reports expert, user, analyst, questionnaire, or human-annotation evidence; treat as limited human-facing evidence rather than field trust.",workflow/lifecycle,"Workflow, lifecycle, throughput, retraining, or SOC-style evidence is reported.",human interpretation,mixed public/custom,single dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S084,Hassan2024EnhancingCyberSecurityEnsemble,FT149,10.1109/iccit64611.2024.11022560,IEEE Xplore; Scopus; Scopus-expanded,10.1109/iccit64611.2024.11022560,doi_recorded,2024,Enhancing The Cyber Security Using Ensemble Stacking Model For Phishing Sites Detection With Hyperparameter Tuning,url/website,SHAP; Shapash/ELI5,classical ML; random forest; boosted trees; ensemble/AutoML; deep learning,model inspection,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",none,"No concrete runtime, resource, prototype, workflow, or field-deployment evidence is extracted.",artifact,public benchmark,single dataset,moderate,"Evidence supports artifact-level or bounded operational claims, but not broad trust or field-effectiveness claims.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S085,Charmet2024VORTEXVisualDetectiOnsARe,FT152,10.1145/3654665,Scopus; Web of Science; Scopus-expanded,10.1145/3654665,doi_recorded,2024,VORTEX: Visual Phishing DetectiOns aRe Through EXplanations,visual,Grad-CAM/CAM,deep learning; CNN/visual detector,robustness/failure analysis,local decision rationale,no,automated proxy,"The study reports explanation-quality, agreement, stability, or similar automated/proxy evidence, not measured trust.",none,"No concrete runtime, resource, prototype, workflow, or field-deployment evidence is extracted.",artifact,public benchmark,single dataset,moderate,"Evidence supports artifact-level or bounded operational claims, but not broad trust or field-effectiveness claims.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S086,Islam2024PhishGuardConvolutionalNeuralNetwork,FT156,10.1109/aiiot58432.2024.10574688,IEEE Xplore,10.1109/aiiot58432.2024.10574688,doi_recorded,2024,PhishGuard: A Convolutional Neural Network-Based Model for Detecting Phishing URLs with Explainability Analysis,url,SHAP,deep learning,model inspection,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",none,"No concrete runtime, resource, prototype, workflow, or field-deployment evidence is extracted.",artifact,public benchmark,single dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
