study_id,citation_key,year,title,xai_methods,global_scope_present,local_scope_present,explanation_scope_category,scope_evidence_basis,xai_changes_model_or_features,reliability_outcome_type,reliability_comparator_present,reliability_effect_direction,reliability_evidence_level,reliability_evidence_basis,coding_notes
S056,Akhtar2025MitigatingCyberThreats,2025,Mitigating Cyber Threats: Machine Learning and Explainable AI for Phishing Detection,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S057,Datto2025EnhancedPayloadFineTuned,2025,Enhanced Phishing Payload Detection Using Fine-Tuned DistilBERT and XAI-Based NLP Models,LIME; SHAP,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S058,Reda2025HybridMLOpsFramework,2025,Hybrid MLOps framework for automated lifecycle management of adaptive phishing detection models,SHAP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S059,Ivanicki2026StudyDegradationAcrossReal,2026,An Explainable AI Study of Phishing Detection Model Degradation Across Real-World Events,SHAP; LIME; Random Forest global feature importance,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S060,Asal2026EmailClassificationComparativeStudy,2026,"Deep learning and explainable AI for email phishing classification: A comparative study of TabNet, NODE and FT-transformer models",SHAP; LIME,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S061,Kumar2025HumanWrittenGeneratedEmails,2025,Detecting Human-Written and AI-Generated Phishing Emails with DistilBERT and Explainable AI,LIME; SHAP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S062,Fatih2025EvaluatingLIMEExplainabilityURL,2025,Evaluating LIME-Based Explainability for Phishing URL Detection Across Multiple Machine Learning Models,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S063,Uddin2025SiteHighEfficiencyBoosting,2025,Explainable Machine Learning for Phishing Site Detection: A High-Efficiency Approach Using Boosting Models and SHAP,SHAP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S064,Yi2025URLInterpretabilityCrossDataset,2026,Phishing URL Detection and Interpretability With Machine Learning: A Cross-Dataset Approach,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S065,Alasmari2025IoTIntegratedCNNLSTM,2025,Phishing detection in IoT: an integrated CNN-LSTM framework with explainable AI and LLM-enhanced analysis,SHAP; LIME; integrated gradients; LLM natural-language explanation,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S066,Kirupa2025SafeSurfBrowserIntegratedHybrid,2025,SafeSurf-AI: A Browser-Integrated Hybrid Phishing and Spam Detection Framework with Real-Time Awareness Simulation and Explainable AI,LIME; SHAP,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S067,AlSubaiey2024NovelInterpretableRobustWeb,2024,Novel interpretable and robust web-based AI platform for phishing email detection,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S068,Choutapally2024PaciPhishInterpretableURL,2024,PaciPhish: Intelligent and Interpretable Phishing URL Detection Framework,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S069,Kluge2021ExplainingSuspicionDesignUser,2021,Explaining the Suspicion: Design of an XAI-Based User-Focused Anti-Phishing Measure,model-agnostic text-highlight explanation via relevant text-segment search,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S070,Ananthajothi2026HybridTabNetTransformerText,2026,A Hybrid Deep Learning Approach for Phishing Detection Using TabNet and Transformer-Based Text Analysis,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S071,Shakir2026NovelPSOOptimizedRandom,2026,A Novel PSO-optimized Random Forest Model for Enhanced Phishing Detection,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S072,Sathiyapriya2026EmailLinkGenerativeML,2026,AI-Based Phishing Email and Link Detection Framework Through Generative AI and Explainable ML,SHAP; LIME; LLM natural-language rationalization,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S073,Shanthi2026SecureURLIntelligenceEngine,2026,Secure URL Intelligence Based Engine for Phishing Detection,SHAP,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S074,Mursi2025AgainstSmishingKenyaCulturally,2025,AI Against Smishing in Kenya: Culturally Adapted SMS Scam Detection for Digital Trust,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S075,Chiper2025EveryCharacterCountsFrom,2025,Every Character Counts: From Vulnerability to Defense in Phishing Detection,character-level Grad-CAM,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S076,Kapoor2025PrivacyPreservingEnsembleURL,2025,Explainable and Privacy-Preserving Ensemble Framework for Phishing URL Detection,SHAP; LIME,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S077,Zhang2025TowardsEducationalZeroShot,2025,Towards Explainable and Educational Phishing Detection: A Zero-Shot LLM Approach,LLM chain-of-thought natural-language explanation with visual annotations,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S078,Greco2023ExplainingAttacksEnhanceUser,2023,Explaining Phishing Attacks: An XAI Approach to Enhance User Awareness and Trust,LIME; SHAP; EBM intrinsic local/global explanation,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S079,Bharanidharan2026EnsembleUrlLightweightCyber,2026,Explainable Ensemble Learning for Phishing Url Detection With Lightweight Cyber Threat Intelligence and Multi-Objective Optimization,SHAP; EBM global/local explanations,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S080,Graziano2026PhishVision20ImprovedVisual,2026,PhishVision2.0: An Improved Visual Brand Impersonation Detector for Identifying Phishing Attacks,GradCam++,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S081,Althoubi2025CATGPT4Context,2025,CAT-GPT-4: Context-Aware Phishing Detection with Explainability,attention-based token importance; LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S082,Tashtoush2025LeveragingLargeLanguageAnalysis,2025,Leveraging Large Language Models for Detection and Intelligent Analysis of Phishing Threats,LLM structured natural-language explanation/report,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S083,Mendoza2025PhishFindRealTime,2025,PhishFind: A Machine Learning-Based System for Real-Time Phishing Detection,GPT-4 natural-language justification for suspicious pages,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S084,Hassan2024EnhancingCyberSecurityEnsemble,2024,Enhancing The Cyber Security Using Ensemble Stacking Model For Phishing Sites Detection With Hyperparameter Tuning,SHAP; Shapash; EL15/local contribution plots,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S085,Charmet2024VORTEXVisualDetectiOnsARe,2024,VORTEX: Visual Phishing DetectiOns aRe Through EXplanations,GradCAM; GradCAM++; LayerCAM; AblationCAM; ScoreCAM,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S086,Islam2024PhishGuardConvolutionalNeuralNetwork,2024,PhishGuard: A Convolutional Neural Network-Based Model for Detecting Phishing URLs with Explainability Analysis,SHAP DeepExplainer,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
