study_id,citation_key,screening_record_id,year,title,reliability_sample,explanation_role_primary__coding_pass_1,explanation_role_primary__coding_pass_2,explanation_role_primary__agreement,explanation_role_primary__final_label,explanation_role_primary__source_review_required,explanation_role_primary__resolution_basis,mixed_purpose_xai__coding_pass_1,mixed_purpose_xai__coding_pass_2,mixed_purpose_xai__agreement,mixed_purpose_xai__final_label,mixed_purpose_xai__source_review_required,mixed_purpose_xai__resolution_basis,trust_evidence_level__coding_pass_1,trust_evidence_level__coding_pass_2,trust_evidence_level__agreement,trust_evidence_level__final_label,trust_evidence_level__source_review_required,trust_evidence_level__resolution_basis,operational_evidence_level__coding_pass_1,operational_evidence_level__coding_pass_2,operational_evidence_level__agreement,operational_evidence_level__final_label,operational_evidence_level__source_review_required,operational_evidence_level__resolution_basis,validation_gate_reached__coding_pass_1,validation_gate_reached__coding_pass_2,validation_gate_reached__agreement,validation_gate_reached__final_label,validation_gate_reached__source_review_required,validation_gate_reached__resolution_basis,reproducibility_level__coding_pass_1,reproducibility_level__coding_pass_2,reproducibility_level__agreement,reproducibility_level__final_label,reproducibility_level__source_review_required,reproducibility_level__resolution_basis,claim_risk__coding_pass_1,claim_risk__coding_pass_2,claim_risk__agreement,claim_risk__final_label,claim_risk__source_review_required,claim_risk__resolution_basis
S047,Aldoufani2025IntelligentSystemDeep,FT048,2025,An Intelligent Phishing Detection System Using Deep Learning and Explainable AI,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,interface,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes,low,moderate,no,moderate,yes,full-text adjudication under the S5 codebook
S048,Mahmood2025IntelligentCyberDefense,FT028,2025,Intelligent Cyber Defense: Utilizing Deep Learning for Robust Detection and Prevention of Phishing Websites,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,moderate,no,moderate,yes,full-text adjudication under the S5 codebook
S049,Lakshmi2026LightPhishAILightweightMultimodal,FT019,2026,LightPhishAI: A Lightweight Multimodal Feature Extraction and Fusion Framework for Real-Time Phishing Detection on IoT Devices,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes
S050,Vishwajeeth2025ExplainableAdversariallyEvaluated,FT069,2025,Explainable and Adversarially Evaluated CNN for Visual Phishing Detection,calibration,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,moderate,no,moderate,yes,full-text adjudication under the S5 codebook
S051,Lad2025AIEnabledLinks,FT045,2025,AI-Enabled Phishing Links Detection Using Machine Learning Models,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,low,yes,full-text adjudication under the S5 codebook,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S052,Upreti2025AQUAPHISHLeveragingMetaheuristics,FT002,2025,AQUAPHISH: Leveraging Metaheuristics and Automated Machine Learning for Precision Phishing Detection,calibration,explanation-informed modeling,explanation-informed modeling,yes,model inspection,yes,full-text adjudication under the S5 codebook,yes-multiple,yes-feature-selection,no,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes
S053,Gurjar2021WebSecAsstChromeExtension,FT091,2021,WebSecAsst - A Machine Learning based Chrome Extension,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,interface,yes,full-text adjudication under the S5 codebook,high,high,yes,high,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes
S054,Liang2025WebsiteConstructionImproved,FT084,2025,Phishing Website Detection Model Construction Based on Improved IHHO-RF-SHAP Algorithm,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,yes-optimization,yes-optimization,yes,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,none,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S055,Naseer2025ExplainableTabNetEnsemble,FT027,2025,Explainable TabNet ensemble model for identification of obfuscated URLs with features selection to ensure secure web browsing,holdout,model inspection,model inspection,yes,explanation-informed modeling,yes,full-text adjudication under the S5 codebook,no,yes-feature-selection,no,yes-feature-selection,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,none,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,moderate,no,moderate,yes,full-text adjudication under the S5 codebook
S056,Akhtar2025MitigatingCyberThreats,FT029,2025,Mitigating Cyber Threats: Machine Learning and Explainable AI for Phishing Detection,holdout,local decision rationale,local decision rationale,yes,local decision rationale,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,none,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S057,Datto2025EnhancedPayloadFineTuned,FT063,2025,Enhanced Phishing Payload Detection Using Fine-Tuned DistilBERT and XAI-Based NLP Models,holdout,robustness/failure analysis,robustness/failure analysis,yes,robustness/failure analysis,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,none,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,artifact,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,high,high,yes,moderate,yes,full-text adjudication under the S5 codebook
S058,Reda2025HybridMLOpsFramework,FT030,2025,Hybrid MLOps framework for automated lifecycle management of adaptive phishing detection models,holdout,robustness/failure analysis,robustness/failure analysis,yes,operational interface support,yes,full-text adjudication under the S5 codebook,yes-feature-selection,yes-feature-selection,yes,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,workflow/lifecycle,workflow/lifecycle,yes,workflow/lifecycle,no,agreement between coding passes,interface,interface,yes,interface,no,agreement between coding passes,high,high,yes,high,no,agreement between coding passes,low,moderate,no,low,yes,full-text adjudication under the S5 codebook
S059,Ivanicki2026StudyDegradationAcrossReal,FT092,2026,An Explainable AI Study of Phishing Detection Model Degradation Across Real-World Events,holdout,model inspection,model inspection,yes,robustness/failure analysis,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,interface,yes,full-text adjudication under the S5 codebook,high,high,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,low,no,agreement between coding passes
S060,Asal2026EmailClassificationComparativeStudy,FT093,2026,"Deep learning and explainable AI for email phishing classification: A comparative study of TabNet, NODE and FT-transformer models",holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,moderate,yes,low,yes,full-text adjudication under the S5 codebook
S061,Kumar2025HumanWrittenGeneratedEmails,FT094,2025,Detecting Human-Written and AI-Generated Phishing Emails with DistilBERT and Explainable AI,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,moderate,no,high,yes,full-text adjudication under the S5 codebook
S062,Fatih2025EvaluatingLIMEExplainabilityURL,FT095,2025,Evaluating LIME-Based Explainability for Phishing URL Detection Across Multiple Machine Learning Models,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,automated proxy,yes,full-text adjudication under the S5 codebook,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S063,Uddin2025SiteHighEfficiencyBoosting,FT096,2025,Explainable Machine Learning for Phishing Site Detection: A High-Efficiency Approach Using Boosting Models and SHAP,holdout,local decision rationale,local decision rationale,yes,model inspection,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,runtime/resource,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes
S064,Yi2025URLInterpretabilityCrossDataset,FT097,2026,Phishing URL Detection and Interpretability With Machine Learning: A Cross-Dataset Approach,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,interface,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,low,no,agreement between coding passes
S065,Alasmari2025IoTIntegratedCNNLSTM,FT098,2025,Phishing detection in IoT: an integrated CNN-LSTM framework with explainable AI and LLM-enhanced analysis,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,automated proxy,automated proxy,yes,explicit human/user/analyst evaluation,yes,full-text adjudication under the S5 codebook,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,human interpretation,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S066,Kirupa2025SafeSurfBrowserIntegratedHybrid,FT099,2025,SafeSurf-AI: A Browser-Integrated Hybrid Phishing and Spam Detection Framework with Real-Time Awareness Simulation and Explainable AI,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,interface,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S067,AlSubaiey2024NovelInterpretableRobustWeb,FT100,2024,Novel interpretable and robust web-based AI platform for phishing email detection,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,interface,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S068,Choutapally2024PaciPhishInterpretableURL,FT101,2024,PaciPhish: Intelligent and Interpretable Phishing URL Detection Framework,holdout,local decision rationale,local decision rationale,yes,local decision rationale,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S069,Kluge2021ExplainingSuspicionDesignUser,FT102,2021,Explaining the Suspicion: Design of an XAI-Based User-Focused Anti-Phishing Measure,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,explicit human/user/analyst evaluation,yes,full-text adjudication under the S5 codebook,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,human interpretation,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,low,no,agreement between coding passes
S070,Ananthajothi2026HybridTabNetTransformerText,FT103,2026,A Hybrid Deep Learning Approach for Phishing Detection Using TabNet and Transformer-Based Text Analysis,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,low,low,yes,low,no,agreement between coding passes,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S071,Shakir2026NovelPSOOptimizedRandom,FT104,2026,A Novel PSO-optimized Random Forest Model for Enhanced Phishing Detection,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,yes-optimization,yes-optimization,yes,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,low,no,agreement between coding passes
S072,Sathiyapriya2026EmailLinkGenerativeML,FT105,2026,AI-Based Phishing Email and Link Detection Framework Through Generative AI and Explainable ML,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,behavior/field outcome,yes,full-text adjudication under the S5 codebook,runtime/resource,runtime/resource,yes,workflow/lifecycle,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,decision/behavior,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S073,Shanthi2026SecureURLIntelligenceEngine,FT110,2026,Secure URL Intelligence Based Engine for Phishing Detection,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,explicit human/user/analyst evaluation,yes,full-text adjudication under the S5 codebook,none,none,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,human interpretation,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S074,Mursi2025AgainstSmishingKenyaCulturally,FT111,2025,AI Against Smishing in Kenya: Culturally Adapted SMS Scam Detection for Digital Trust,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,explicit human/user/analyst evaluation,yes,full-text adjudication under the S5 codebook,prototype/interface,none,no,prototype/interface,yes,full-text adjudication under the S5 codebook,interface,artifact,no,human interpretation,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,high,yes,full-text adjudication under the S5 codebook,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S075,Chiper2025EveryCharacterCountsFrom,FT112,2025,Every Character Counts: From Vulnerability to Defense in Phishing Detection,holdout,robustness/failure analysis,robustness/failure analysis,yes,robustness/failure analysis,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,high,high,yes,high,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S076,Kapoor2025PrivacyPreservingEnsembleURL,FT113,2025,Explainable and Privacy-Preserving Ensemble Framework for Phishing URL Detection,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,low,yes,full-text adjudication under the S5 codebook,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S077,Zhang2025TowardsEducationalZeroShot,FT114,2025,Towards Explainable and Educational Phishing Detection: A Zero-Shot LLM Approach,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S078,Greco2023ExplainingAttacksEnhanceUser,FT121,2023,Explaining Phishing Attacks: An XAI Approach to Enhance User Awareness and Trust,holdout,operational interface support,operational interface support,yes,operational interface support,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,interface,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S079,Bharanidharan2026EnsembleUrlLightweightCyber,FT127,2026,Explainable Ensemble Learning for Phishing Url Detection With Lightweight Cyber Threat Intelligence and Multi-Objective Optimization,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,moderate,yes,high,yes,full-text adjudication under the S5 codebook
S080,Graziano2026PhishVision20ImprovedVisual,FT131,2026,PhishVision2.0: An Improved Visual Brand Impersonation Detector for Identifying Phishing Attacks,holdout,robustness/failure analysis,robustness/failure analysis,yes,robustness/failure analysis,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S081,Althoubi2025CATGPT4Context,FT136,2025,CAT-GPT-4: Context-Aware Phishing Detection with Explainability,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,explicit human/user/analyst evaluation,yes,full-text adjudication under the S5 codebook,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,human interpretation,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S082,Tashtoush2025LeveragingLargeLanguageAnalysis,FT144,2025,Leveraging Large Language Models for Detection and Intelligent Analysis of Phishing Threats,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,explicit human/user/analyst evaluation,yes,full-text adjudication under the S5 codebook,none,none,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,human interpretation,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S083,Mendoza2025PhishFindRealTime,FT146,2025,PhishFind: A Machine Learning-Based System for Real-Time Phishing Detection,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,explicit human/user/analyst evaluation,no,explicit human/user/analyst evaluation,yes,full-text adjudication under the S5 codebook,none,none,yes,workflow/lifecycle,yes,full-text adjudication under the S5 codebook,artifact,human interpretation,no,human interpretation,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,high,yes,full-text adjudication under the S5 codebook
S084,Hassan2024EnhancingCyberSecurityEnsemble,FT149,2024,Enhancing The Cyber Security Using Ensemble Stacking Model For Phishing Sites Detection With Hyperparameter Tuning,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,yes-multiple,no,no,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S085,Charmet2024VORTEXVisualDetectiOnsARe,FT152,2024,VORTEX: Visual Phishing DetectiOns aRe Through EXplanations,holdout,robustness/failure analysis,robustness/failure analysis,yes,robustness/failure analysis,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,automated proxy,yes,full-text adjudication under the S5 codebook,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S086,Islam2024PhishGuardConvolutionalNeuralNetwork,FT156,2024,PhishGuard: A Convolutional Neural Network-Based Model for Detecting Phishing URLs with Explainability Analysis,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,high,yes,full-text adjudication under the S5 codebook
