study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,baseline_summary,classical_ml,boosted_ensemble,deep_transformer_llm,optimization_metaheuristic,ablation_feature_fusion,external_literature,operational_service,baseline_richness,comparability_caution
S059,Ivanicki2026StudyDegradationAcrossReal,FT092,10.1109/isdfs69419.2026.11459104,IEEE Xplore,10.1109/isdfs69419.2026.11459104,doi_recorded,2026,An Explainable AI Study of Phishing Detection Model Degradation Across Real-World Events,year-specific Random Forest models; no separate multi-model baseline clearly used in the extracted text.,yes,no,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S060,Asal2026EmailClassificationComparativeStudy,FT093,10.2339/politeknik.1745083,Web of Science,10.2339/politeknik.1745083,doi_recorded,2026,"Deep learning and explainable AI for email phishing classification: A comparative study of TabNet, NODE and FT-transformer models",TabNet; NODE; FT-Transformer compared under common experimental settings.,no,no,yes,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S061,Kumar2025HumanWrittenGeneratedEmails,FT094,10.1109/incowoco68239.2025.11407086,IEEE Xplore,10.1109/incowoco68239.2025.11407086,doi_recorded,2025,Detecting Human-Written and AI-Generated Phishing Emails with DistilBERT and Explainable AI,No implemented baseline model is central in the extracted method; related work compares classical and transformer approaches.,no,no,yes,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S062,Fatih2025EvaluatingLIMEExplainabilityURL,FT095,10.1109/icetisi67983.2025.11406019,IEEE Xplore,10.1109/icetisi67983.2025.11406019,doi_recorded,2025,Evaluating LIME-Based Explainability for Phishing URL Detection Across Multiple Machine Learning Models,"Logistic Regression and Decision Tree as simpler baselines; XGBoost, LightGBM, and CatBoost as boosting models.",yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S063,Uddin2025SiteHighEfficiencyBoosting,FT096,10.1049/tje2.70110,Web of Science,10.1049/tje2.70110,doi_recorded,2025,Explainable Machine Learning for Phishing Site Detection: A High-Efficiency Approach Using Boosting Models and SHAP,GBM; XGBoost; LightGBM.,no,yes,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S064,Yi2025URLInterpretabilityCrossDataset,FT097,10.1002/spy2.70175,Web of Science,10.1002/spy2.70175,doi_recorded,2026,Phishing URL Detection and Interpretability With Machine Learning: A Cross-Dataset Approach,"Initial candidates included SVM, XGBoost, Naive Bayes, RF, Logistic Regression, LightGBM, CatBoost, and Gradient Boosting; final analysis focuses on RF, XGBoost, and LightGBM.",yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S065,Alasmari2025IoTIntegratedCNNLSTM,FT098,10.1007/s43926-025-00202-9,Scopus; Scopus-expanded,10.1007/s43926-025-00202-9,doi_recorded,2025,Phishing detection in IoT: an integrated CNN-LSTM framework with explainable AI and LLM-enhanced analysis,CNN-LSTM URL detector and DistilBERT text/email detector; Llama2 used for explanation; balancing methods compared for text dataset.,no,no,yes,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S066,Kirupa2025SafeSurfBrowserIntegratedHybrid,FT099,10.1109/gcwcn66157.2025.11448531,IEEE Xplore,10.1109/gcwcn66157.2025.11448531,doi_recorded,2025,SafeSurf-AI: A Browser-Integrated Hybrid Phishing and Spam Detection Framework with Real-Time Awareness Simulation and Explainable AI,Rule-based checks and ML/deep-learning components within the SafeSurf-AI architecture; explicit external baseline table is limited in the extracted text.,no,no,no,no,no,no,yes,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S067,AlSubaiey2024NovelInterpretableRobustWeb,FT100,10.1016/j.compeleceng.2024.109625,Scopus; Web of Science; Scopus-expanded,10.1016/j.compeleceng.2024.109625,doi_recorded,2024,Novel interpretable and robust web-based AI platform for phishing email detection,SVM; Multinomial Naive Bayes; Random Forest; TF-IDF and Word2Vec feature representations.,yes,no,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S068,Choutapally2024PaciPhishInterpretableURL,FT101,10.1109/cars61786.2024.10778820,IEEE Xplore; Scopus; Scopus-expanded,10.1109/cars61786.2024.10778820,doi_recorded,2024,PaciPhish: Intelligent and Interpretable Phishing URL Detection Framework,Logistic Regression; Multinomial Naive Bayes; MLP; SVC; comparison with two prior PUD frameworks.,yes,no,yes,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S069,Kluge2021ExplainingSuspicionDesignUser,FT102,10.1007/978-3-030-86797-3_17,Scopus; Scopus-expanded,10.1007/978-3-030-86797-3_17,doi_recorded,2021,Explaining the Suspicion: Design of an XAI-Based User-Focused Anti-Phishing Measure,State-of-the-art phishing detector treated as black box; no multi-detector benchmark is central.,no,no,no,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S070,Ananthajothi2026HybridTabNetTransformerText,FT103,10.1109/iitcee67948.2026.11394524,IEEE Xplore,10.1109/iitcee67948.2026.11394524,doi_recorded,2026,A Hybrid Deep Learning Approach for Phishing Detection Using TabNet and Transformer-Based Text Analysis,Implicit comparison to TabNet-only/single-modality approaches; no detailed external baseline table is central in the extracted text.,no,no,yes,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S071,Shakir2026NovelPSOOptimizedRandom,FT104,10.22266/ijies2026.0531.02,Scopus; Scopus-expanded,10.22266/ijies2026.0531.02,doi_recorded,2026,A Novel PSO-optimized Random Forest Model for Enhanced Phishing Detection,LR; AdaBoost; MLP; Decision Tree; Random Forest; KNN; SVM; SGD; non-optimized RF.,yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S072,Sathiyapriya2026EmailLinkGenerativeML,FT105,10.1109/idciot67589.2026.11455836,IEEE Xplore,10.1109/idciot67589.2026.11455836,doi_recorded,2026,AI-Based Phishing Email and Link Detection Framework Through Generative AI and Explainable ML,rule-based filtering; Random Forest with structural features; CNN text classifier; proposed LLM+ML+XAI framework.,yes,no,yes,no,no,no,yes,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S073,Shanthi2026SecureURLIntelligenceEngine,FT110,10.1109/iciss67859.2026.11453639,IEEE Xplore,10.1109/iciss67859.2026.11453639,doi_recorded,2026,Secure URL Intelligence Based Engine for Phishing Detection,Random Forest; SVM; XGBoost; CNN-LSTM; ensemble.,yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S074,Mursi2025AgainstSmishingKenyaCulturally,FT111,10.1109/ictmod66732.2025.11371821,IEEE Xplore; Scopus; Scopus-expanded,10.1109/ictmod66732.2025.11371821,doi_recorded,2025,AI Against Smishing in Kenya: Culturally Adapted SMS Scam Detection for Digital Trust,XGBoost and Logistic Regression compared.,yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S075,Chiper2025EveryCharacterCountsFrom,FT112,10.1109/ictai66417.2025.00066,IEEE Xplore; Scopus; Scopus-expanded,10.1109/ictai66417.2025.00066,doi_recorded,2025,Every Character Counts: From Vulnerability to Defense in Phishing Detection,"CharCNN; CharGRU; CharBiLSTM; comparison with LLaMA 3.2 on 1,000 adversarial emails.",no,no,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S076,Kapoor2025PrivacyPreservingEnsembleURL,FT113,10.1109/medcom67532.2025.11405148,IEEE Xplore,10.1109/medcom67532.2025.11405148,doi_recorded,2025,Explainable and Privacy-Preserving Ensemble Framework for Phishing URL Detection,Isolation Forest; One-Class SVM; Logistic Regression; Decision Tree; Random Forest; Federated Logistic Regression; ensemble.,yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S077,Zhang2025TowardsEducationalZeroShot,FT114,10.1109/bigdata66926.2025.11402600,IEEE Xplore,10.1109/bigdata66926.2025.11402600,doi_recorded,2025,Towards Explainable and Educational Phishing Detection: A Zero-Shot LLM Approach,SVM; Random Forest; XGBoost; LightGBM; CatBoost; CNN; MLP; vision transformer baselines trained on multimodal features.,yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S078,Greco2023ExplainingAttacksEnhanceUser,FT121,PlanB:PB-ALL-030; sources:Scopus-expanded; verified:CEUR/DBLP; url:https://ceur-ws.org/Vol-3488/paper22.pdf,Scopus; Scopus-expanded,,no_doi_identified,2023,Explaining Phishing Attacks: An XAI Approach to Enhance User Awareness and Trust,Decision Tree; Logistic Regression; SVM; Random Forest; MLP; DNN; EBM.,yes,no,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S079,Bharanidharan2026EnsembleUrlLightweightCyber,FT127,10.1109/icmsci67830.2026.11469630,IEEE Xplore,10.1109/icmsci67830.2026.11469630,doi_recorded,2026,Explainable Ensemble Learning for Phishing Url Detection With Lightweight Cyber Threat Intelligence and Multi-Objective Optimization,Random Forest; CNN; LightGBM; XGBoost; EBM; proposed X-URLIntelNet ensemble.,yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S080,Graziano2026PhishVision20ImprovedVisual,FT131,10.1007/978-3-032-00137-5_18,Scopus; Scopus-expanded,10.1007/978-3-032-00137-5_18,doi_recorded,2026,PhishVision2.0: An Improved Visual Brand Impersonation Detector for Identifying Phishing Attacks,"PhishVision; Phishpedia; PhishIntention; YOLOv7 variants including tiny, standard, X, and W6.",no,no,no,no,yes,no,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S081,Althoubi2025CATGPT4Context,FT136,10.1109/cyber-ai66431.2025.11233494,IEEE Xplore; Scopus; Scopus-expanded,10.1109/cyber-ai66431.2025.11233494,doi_recorded,2025,CAT-GPT-4: Context-Aware Phishing Detection with Explainability,BERT; XLNet+MLP; XLNet+GPT2; CAT-GPT-4 weighted variant; related HELPHED and FedPB comparisons.,no,no,yes,no,yes,no,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S082,Tashtoush2025LeveragingLargeLanguageAnalysis,FT144,10.1109/cyber-ai66431.2025.11233620,IEEE Xplore; Scopus; Scopus-expanded,10.1109/cyber-ai66431.2025.11233620,doi_recorded,2025,Leveraging Large Language Models for Detection and Intelligent Analysis of Phishing Threats,"No in-study ML baseline central to method; comparative table covers prior LLM-based systems such as ChatSpamDetector, APOLLO, EXPLICATE, and one-shot URL classifiers.",no,no,yes,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S083,Mendoza2025PhishFindRealTime,FT146,10.1145/3771678.3771683,Scopus; Scopus-expanded,10.1145/3771678.3771683,doi_recorded,2025,PhishFind: A Machine Learning-Based System for Real-Time Phishing Detection,Gradient Boosting; XGBoost; Random Forest; Decision Tree; Naive Bayes.,yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S084,Hassan2024EnhancingCyberSecurityEnsemble,FT149,10.1109/iccit64611.2024.11022560,IEEE Xplore; Scopus; Scopus-expanded,10.1109/iccit64611.2024.11022560,doi_recorded,2024,Enhancing The Cyber Security Using Ensemble Stacking Model For Phishing Sites Detection With Hyperparameter Tuning,DT; SVM; KNN; RF; MLP; XGBoost; AdaBoost; Gradient Boosting; LightGBM; stacking ensemble.,yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S085,Charmet2024VORTEXVisualDetectiOnsARe,FT152,10.1145/3654665,Scopus; Web of Science; Scopus-expanded,10.1145/3654665,doi_recorded,2024,VORTEX: Visual Phishing DetectiOns aRe Through EXplanations,VisualPhishNet; Phishpedia; PhishIntention; VORTEX variants with adversarial training and StepReLU.,no,no,no,no,yes,no,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S086,Islam2024PhishGuardConvolutionalNeuralNetwork,FT156,10.1109/aiiot58432.2024.10574688,IEEE Xplore,10.1109/aiiot58432.2024.10574688,doi_recorded,2024,PhishGuard: A Convolutional Neural Network-Based Model for Detecting Phishing URLs with Explainability Analysis,Multiple conventional ML models plus prior CNN/GCNN literature comparators.,no,no,yes,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
